CNPJ_Fundo;Data_Referencia;Versao;Total_Necessidades_Liquidez;Disponibilidades;Titulos_Publicos;Titulos_Privados;Fundos_Renda_Fixa;Total_Investido;Direitos_Bens_Imoveis;Terrenos;Imoveis_Renda_Acabados;Imoveis_Renda_Construcao;Imoveis_Venda_Acabados;Imoveis_Venda_Construcao;Outros_Direitos_Reais;Acoes;Debentures;Bonus_Subscricao;Certificados_Deposito_Valores_Mobiliarios;Cedulas_Debentures;Fundo_Acoes;FIP;FII;FDIC;Outras_Cotas_FI;Notas_Promissorias;Acoes_Sociedades_Atividades_FII;Cotas_Sociedades_Atividades_FII;CEPAC;CRI;CRI_CRA;Letras_Hipotecarias;LCI;LCI_LCA;LIG;Outros_Valores_Mobliarios;Valores_Receber;Contas_Receber_Aluguel;Contas_Receber_Venda_Imoveis;Outros_Valores_Receber;Rendimentos_Distribuir;Taxa_Administracao_Pagar;Taxa_Performance_Pagar;Obrigacoes_Aquisicao_Imoveis;Adiantamento_Venda_Imoveis;Adiantamento_Alugueis;Obrigacoes_Securitizacao_Recebiveis;Instrumentos_Financeiros_Derivativos;Provisoes_Contigencias;Outros_Valores_Pagar;Total_Passivo
24.514.406/0001-50;2024-01-01;1;1148406.79;1146378.86;;;2027.93;159156989.81;159156989.81;159156989.81;;;;;;;;;;;;;;;;;;;;;;;;;;;411199996.85;;410574790.52;625206.33;;118665.76;;119288741.91;;;;;;568400;119975807.67
24.514.406/0001-50;2024-02-01;1;1437182.89;1435137.48;;;2045.41;159243989.81;159243989.81;159243989.81;;;;;;;;;;;;;;;;;;;;;;;;;;;411200467.35;;410574790.52;625676.83;;109659.74;;117884911.89;;;;;;588400;118582971.63
24.514.406/0001-50;2024-03-01;1;2483059.29;2480996.22;;;2063.07;159243989.81;159243989.81;159243989.81;;;;;;;;;;;;;;;;;;;;;;;;;;;338846213.43;0;338829705.96;16507.47;;21272.39;;117223624.18;;;;;;308400;117553296.57
24.703.709/0001-11;2024-01-01;1;660231.91;11425.95;648339.99;;465.97;2540791.36;2540791.36;;;;2540791.36;;;;;;;;;;;;;;;;;;;;;;;;25766.3;;12089.95;13676.35;;10000;;250000;;;;;;20618.26;280618.26
24.703.709/0001-11;2024-02-01;1;535966.92;12797.13;522906.28;;263.51;2540791.36;2540791.36;;;;2540791.36;;;;;;;;;;;;;;;;;;;;;;;;25716.25;;12089.95;13626.3;;10000;;250000;;;;;;21077.01;281077.01
24.703.709/0001-11;2024-03-01;1;519311.15;4990.12;512541.8;;1779.23;2540791.36;2540791.36;;;;2540791.36;;;;;;;;;;;;;;;;;;;;;;;;25716.25;;12089.95;13626.3;;10000;;250000;;;;;;16609.91;276609.91
24.774.904/0001-32;2024-01-01;1;7788.09;0;0;0;7788.09;35297822.13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35297822.13;0;0;0;0;0;0;;0;0;;0;0;0;0;0;0;0;0;1114355.7;0;0;0;0;0;0;0;898519.93;2012875.63
24.774.904/0001-32;2024-02-01;1;6792.51;18.66;0;0;6773.85;35284550.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35284550.8;0;0;0;0;0;0;;0;0;;0;0;0;0;0;0;0;0;1138945.63;0;0;0;0;0;0;0;919122.41;2058068.04
24.774.904/0001-32;2024-03-01;1;5822.11;17;0;0;5805.11;35270586.37;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35270586.37;0;0;0;0;0;0;;0;0;;0;0;0;0;0;0;0;0;1163535.56;0;0;0;0;0;0;0;938686.6;2102222.16
24.796.967/0001-90;2024-01-01;2;10069124.21;1403.79;;;10067720.42;124153859.51;124153859.51;;;;122966759.51;;1187100;;;;;;;;;;;;;;;;;;;;;;28316058.02;;4301890.66;24014167.36;1214.13;39181.49;;;6569006.28;;;;;24848136.18;31457538.08
