;Papel;Cotação;P/L;P/VP;PSR;Div.Yield;P/Ativo;P/Cap.Giro;P/EBIT;P/Ativ Circ.Liq;EV/EBIT;EV/EBITDA;Mrg Ebit;Mrg. Líq.;Liq. Corr.;ROIC;ROE;Liq.2meses;Patrim. Líq;Dív.Brut/ Patrim.;Cresc. Rec.5a;LPA;VPA
720;MPLU3;26.8;12.2;17.37;6.877;0,00%;2.676;50.65;10.34;66.01;7.71;7.28;66,52%;56,37%;1.06;129,57%;142,40%;0.0;250279000.0;0.0;-18,88%;2.20;1.54
721;FRAS3;17.19;12.3;2.53;1.37;2,75%;1.187;3.69;8.06;14.43;7.77;6.38;16,98%;11,47%;2.13;23,73%;20,53%;4344220.0;1838190000.0;0.48;27,41%;1.40;6.81
722;UGPA4;27.1;12.39;2.24;0.24;0,00%;0.79;4.07;5.99;-5.42;7.39;6.02;4,00%;2,00%;1.66;19,18%;18,06%;0.0;13506500000.0;0.98;13,42%;2.19;12.11
723;AMPI3;55.0;12.41;2.74;0.247;0,00%;0.177;5.68;0.98;-0.68;1.99;1.73;25,18%;15,11%;1.12;21,22%;22,09%;0.0;240799000.0;4.48;14,12%;4.43;20.07
724;LAND3;18.15;12.42;2.46;18.014;7,46%;1.89;-48.78;26.22;-8.92;27.73;26.04;68,70%;145,07%;0.35;7,24%;19,83%;879906.0;709172000.0;0.15;-17,92%;1.46;7.37
725;COCE3;50.99;12.58;0.95;0.46;0,60%;0.303;-1.76;2.88;-0.66;6.98;5.01;16,00%;3,66%;0.56;11,86%;7,53%;587.78;4191150000.0;1.4;14,15%;4.05;53.83
726;BRIT3;3.7;12.63;1.12;1.408;0,87%;0.531;4.1;5.71;-1.79;8.24;3.95;24,64%;11,12%;2.3;11,37%;8,88%;1766260.0;1480810000.0;0.83;29,38%;0.29;3.30
727;CURY3;20.9;12.66;7.05;2.114;4,43%;1.973;5.42;9.47;51.8;8.88;8.54;22,33%;17,17%;2.03;33,42%;55,70%;33443600.0;864965000.0;0.71;31,79%;1.65;2.96
728;TMGC7;800.01;12.68;1.63;1.164;0,00%;1.12;6.77;17.85;11.96;16.52;16.52;6,52%;9,18%;1.69;8,73%;12,83%;0.0;1167010000.0;0.05;10,49%;63.11;491.99
729;BRML3;8.26;12.72;0.6;4.433;0,00%;0.383;-332.15;7.47;-1.39;9.27;9.27;59,30%;38,86%;0.99;5,44%;4,70%;0.0;11446200000.0;0.23;6,28%;0.65;13.82
730;SANB4;15.1;12.77;1.32;0.0;5,59%;0.0;0.0;0.0;0.0;0.0;0.0;0,00%;0,00%;0.0;0,00%;10,32%;1827510.0;85913600000.0;0.0;-11,09%;1.18;11.46
731;ESTC11;23.5;12.87;0.75;0.482;0,00%;0.247;2.78;2.98;-0.61;8.1;4.17;16,20%;3,80%;1.52;9,69%;5,81%;0.0;3239030000.0;1.65;8,98%;1.83;31.44
732;DIRR3;24.71;12.93;2.19;1.82;1,90%;0.566;1.69;10.02;-2.28;10.06;8.81;18,17%;16,43%;3.44;7,00%;16,97%;36377700.0;1953400000.0;0.69;14,16%;1.91;11.26
733;LPSB3;2.01;12.94;1.35;1.62;1,03%;0.748;6.54;8.95;-3.61;7.26;4.83;18,09%;18,70%;1.82;9,89%;10,44%;247731.0;219649000.0;0.0;8,00%;0.16;1.49
734;AVIL3;0.93;12.97;4.16;2.338;0,00%;2.227;3.89;10.0;9.02;9.4;9.4;23,38%;18,01%;5.14;40,99%;32,03%;0.0;1106590000.0;0.52;1,74%;0.07;0.22
735;DXTG4;3.68;13.02;1.32;0.675;0,00%;0.689;2.44;6.26;7.48;6.33;6.33;10,78%;6,60%;2.77;12,31%;10,10%;0.0;768999000.0;0.04;8,30%;0.28;2.80
736;UGPA3;28.55;13.05;2.36;0.253;2,28%;0.833;4.29;6.31;-5.71;7.71;6.28;4,00%;2,00%;1.66;19,18%;18,06%;170151000.0;13506500000.0;0.98;13,42%;2.19;12.11
737;HYPE3;34.04;13.08;1.87;2.724;4,19%;0.88;6.28;8.71;-4.39;11.68;10.66;31,27%;20,85%;1.74;11,49%;14,33%;92388000.0;11504100000.0;0.86;26,69%;2.60;18.16
738;UCAS3;2.7;13.1;0.91;0.806;7,44%;0.586;31.77;33.69;-17.14;29.98;11.81;2,39%;6,15%;1.06;2,04%;6,91%;147350.0;197009000.0;0.08;15,02%;0.21;2.98
