,Ticker,FM,Tipo,Mod.,A/I/OTM,Strike,Distância % do Strike,Prêmio como % da última cotação,Último,Número de Negócios,Volume Negociado,Data/Hora,Vol. Implícita,Delta,Gamma,Theta,Vega,ativo
6,BBDCX105W2,,PUT,E,OTM,10.5,-23.13,,,,,,,,,,,BBDC4
7,BBDCX110W2,,PUT,E,OTM,11.0,-19.47,,,,,,,,,,,BBDC4
8,BBDCX115W2,,PUT,E,OTM,11.5,-15.81,,,,,,,,,,,BBDC4
9,BBDCL160W2,,CALL,A,OTM,16.0,17.13,,,,,,,,,,,BBDC4
10,BBDCL165W2,,CALL,A,OTM,16.5,20.79,,,,,,,,,,,BBDC4
11,BBDCL170W2,,CALL,A,OTM,17.0,24.45,,,,,,,,,,,BBDC4
12,BBDCL175W2,,CALL,A,OTM,17.5,28.11,,,,,,,,,,,BBDC4
13,BBDCL180W2,,CALL,A,OTM,18.0,31.77,,,,,,,,,,,BBDC4
14,BBDCL185W2,,CALL,A,OTM,18.5,35.43,,,,,,,,,,,BBDC4
15,BBDCL190W2,,CALL,A,OTM,19.0,39.09,,,,,,,,,,,BBDC4
16,BBDCL195W2,,CALL,A,OTM,19.5,42.75,,,,,,,,,,,BBDC4
17,BBDCL200W2,,CALL,A,OTM,20.0,46.41,,,,,,,,,,,BBDC4
18,BBDCL205W2,,CALL,A,OTM,20.5,50.07,,,,,,,,,,,BBDC4
0,BBDCL856,,CALL,A,ITM,8.35,-38.87,50.0,6.83,1.0,31418.0,23/10/2024,,,,,,BBDC4
1,BBDCL876,,CALL,A,ITM,8.55,-37.41,,,,,,,,,,,BBDC4
2,BBDCL886,,CALL,E,ITM,8.65,-36.68,,,,,,,,,,,BBDC4
3,BBDCL896,,CALL,A,ITM,8.75,-35.94,,,,,,,,,,,BBDC4
4,BBDCL906,,CALL,E,ITM,8.85,-35.21,,,,,,,,,,,BBDC4
5,BBDCL916,,CALL,A,ITM,8.95,-34.48,,,,,,,,,,,BBDC4
6,BBDCL926,,CALL,E,ITM,9.05,-33.75,,,,,,,,,,,BBDC4
7,BBDCL936,,CALL,A,ITM,9.15,-33.02,,,,,,,,,,,BBDC4
8,BBDCL950,,CALL,E,ITM,9.25,-32.28,42.83,5.85,2.0,59085.0,19/09/2024,,,,,,BBDC4
