TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
NSH;9,93;;-46,00;57,10;1,24;;;;-46,00;-45,86;0,14;-0,17;;-765,38;-1,24;0,74;-124,12;-2,69;-124,12;0,02;0,16;0,00;;;;0,17;-0,22;;285.487.500,00
NSIT;182,72;;21,14;3,43;0,95;18,19;4,57;3,07;12,23;16,64;2,45;0,59;0,65;6,21;-3,04;1,28;16,21;4,47;10,64;0,28;0,72;1,46;5,32;11,44;;53,34;8,64;;5.946.074.240,00
NSL;4,61;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NSP;108,33;2,10;23,57;43,15;1,91;15,99;3,89;2,64;13,70;14,44;-1,57;-4,24;0,62;25,41;-7,70;1,11;183,05;8,09;42,87;0,04;0,96;3,06;11,12;5,12;;2,51;4,60;;4.039.560.702,00
NSS;25,21;;;;;36,94;31,85;16,75;;6,56;6,56;;;;;0,85;;5,59;15,08;0,00;0,79;0,33;;;;;;;0,00
NSSC;39,98;0,81;34,04;9,31;7,91;51,71;28,01;24,35;28,40;28,00;-1,59;-0,50;8,29;11,44;-40,68;7,06;27,35;23,24;27,35;0,85;0,15;0,95;13,13;28,81;;4,30;1,17;;1.470.544.360,00
NSTG;0,10;;-0,03;-0,10;0,02;35,72;-97,64;-102,44;-0,03;-0,85;-0,82;;0,03;0,04;-0,08;2,73;-329,14;-60,58;-89,66;-0,18;1,18;0,59;2,06;;;-1,05;-3,46;;4.811.830,00
NSYS;16,06;;6,40;1,25;0,59;16,58;4,27;4,93;5,50;8,18;0,79;0,13;0,32;1,37;-2,69;2,21;19,45;9,15;10,89;0,47;0,53;1,85;4,21;110,58;;12,90;2,51;;44.007.612,00
NTAP;97,91;2,04;21,50;20,33;2,16;70,09;19,37;15,21;13,90;16,44;-0,44;-0,53;3,27;35,95;-4,01;1,15;94,57;10,03;27,77;0,11;0,89;0,66;1,45;61,49;;4,82;4,55;;20.206.342.697,00
NTB;31,04;5,67;7,56;1,93;0,11;93,89;0,00;34,25;31,47;;;-3,06;2,59;-0,29;-0,24;0,61;25,51;1,41;;0,06;0,94;0,04;7,31;2,93;;16,09;4,11;;1.456.080.192,00
NTCO;6,58;;-45,13;0,92;0,41;64,49;1,92;-1,39;;47,84;15,19;0,43;0,63;6,48;-0,57;1,30;-2,04;-0,91;0,90;0,45;0,55;0,66;;;;7,14;-0,15;;4.542.262.172,00
NTCT;19,31;;-11,57;0,72;0,53;77,46;-12,34;-14,21;-56,24;-11,10;2,23;-0,12;1,64;6,04;-0,69;1,59;-6,23;-4,58;-5,43;0,74;0,26;0,32;-1,51;-5,66;;26,80;-1,67;;1.371.687.781,00
NTEC;9,63;;-1,22;1,56;1,02;;;;-1,37;-0,46;0,77;-0,98;;2,55;-3,37;2,34;-127,71;-83,12;-127,43;0,65;0,35;0,00;;;;6,16;-7,86;;17.745.201,00
NTES;93,62;2,74;20,80;3,86;2,40;54,12;20,18;19,86;;14,84;-5,63;-1,06;4,13;5,73;-10,07;2,23;18,56;11,56;14,17;0,62;0,38;0,58;10,79;12,19;;24,25;4,50;;60.380.415.602,00
NTG;38,11;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NTGR;14,21;;-31,35;0,79;0,50;28,25;-2,50;-1,48;-7,24;-6,06;12,48;-0,53;0,46;0,87;-4,25;2,83;-2,51;-1,59;-6,01;0,63;0,37;1,07;-6,89;;;18,05;-0,45;;421.488.494,00
NTIC;15,51;1,81;31,82;2,14;1,67;37,27;9,74;5,56;14,93;18,05;-0,11;-0,01;1,77;6,10;-2,93;2,79;6,72;5,26;8,96;0,78;0,18;0,95;9,21;-15,35;;7,25;0,49;;146.222.076,00
NTLA;21,01;;-4,37;1,95;1,62;100,00;-893,34;-893,34;-4,25;-2,52;1,85;-0,82;39,01;2,52;-5,77;9,72;-44,58;-37,19;-44,58;0,83;0,17;0,04;3,57;;;10,79;-4,81;;2.019.195.464,00
NTNX;59,05;;-214,33;-23,59;5,29;83,83;-2,22;-3,33;199,23;-313,72;8,80;;7,15;15,72;-22,23;1,79;-11,00;-2,47;-10,54;-0,22;1,22;0,74;10,02;;;-2,50;-0,28;;14.427.639.260,00
NTP;4,21;;3,41;0,61;0,21;62,70;44,16;31,72;2,28;0,26;-2,19;-0,55;1,08;4,31;-0,45;1,11;17,87;6,30;13,69;0,35;0,65;0,20;88,68;;;6,92;1,24;;165.276.180,00
NTR;52,75;4,04;3,79;0,98;0,47;41,26;26,45;19,43;;3,46;0,68;0,24;0,74;8,05;-0,71;1,21;25,89;12,47;21,02;0,48;0,52;0,64;8,15;-18,54;;53,81;13,93;;26.089.279.625,00
NTRA;84,66;;-23,51;13,36;7,09;45,52;-38,97;-40,16;-25,85;-23,01;1,22;-0,67;9,44;10,75;-55,82;4,10;-56,81;-30,16;-37,40;0,53;0,47;0,75;33,26;;;6,34;-3,60;;10.223.363.814,00
NTRS;81,61;3,68;15,67;1,40;0,11;0,00;56,19;8,79;2,24;-9,42;-11,86;-6,79;1,38;;-0,11;;8,96;0,71;28,93;0,08;0,92;0,08;12,72;-6,58;;58,32;5,22;;16.649.998.751,00
NTRSO;20,75;4,25;3,98;0,36;0,03;0,00;56,19;8,79;0,57;-9,42;-11,86;-6,79;0,35;;-0,03;;8,96;0,71;28,93;0,08;0,92;0,08;12,72;-6,58;;58,32;5,22;;16.649.998.751,00
NTUS;32,96;;89,87;2,65;2,01;56,99;4,15;2,65;24,06;53,14;-4,24;-0,20;2,38;6,55;-4,05;2,54;2,94;2,23;2,94;0,76;0,24;0,84;4,39;-20,92;;12,46;0,37;;1.139.852.384,00
NTWK;2,68;;-14,60;0,89;0,53;40,26;3,10;-3,68;7,22;11,90;-5,44;-0,28;0,54;1,37;-1,76;2,25;-6,07;-3,64;2,41;0,60;0,40;0,99;-2,97;;;3,03;-0,18;;30.527.612,00
NTZ;5,96;;-24,38;0,65;0,16;34,33;0,56;-0,53;;23,02;0,00;0,00;0,13;5,02;-0,34;1,06;-2,67;-0,64;-0,95;0,24;0,76;1,20;-0,32;;;9,14;-0,24;;65.647.016,00
NU;10,45;;-318,66;10,51;1,98;63,39;2,94;-5,20;;526,44;-36,51;-0,68;16,56;-6,22;-2,51;0,40;-3,30;-0,62;1,54;0,19;0,81;0,12;;;;0,99;-0,03;;49.804.043.740,00
NUAN;55,99;;-180,30;11,35;5,53;59,86;0,91;-7,41;169,68;1.533,69;61,89;0,48;13,36;-48,94;-6,48;0,57;-6,30;-3,06;-0,60;0,49;0,50;0,41;-6,91;;;4,93;-0,31;;17.882.405.343,00
NUE;190,60;1,10;9,41;2,19;1,30;23,12;18,70;13,66;5,84;6,83;-0,04;-0,01;1,29;3,89;-2,42;3,57;23,29;13,80;19,48;0,59;0,41;1,01;6,73;13,99;;86,98;20,26;;45.885.997.000,00
NUM;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NUO;12,66;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NURO;4,27;;-1,30;0,42;0,40;66,88;-110,64;-110,64;-1,28;1,46;2,76;-0,90;1,44;0,43;-14,88;16,80;-32,50;-30,48;-32,50;0,94;0,06;0,28;-18,18;;;10,11;-3,29;;8.482.355,00
NUS;12,99;9,47;74,69;0,78;0,36;68,93;1,35;0,44;6,58;33,00;8,85;0,29;0,33;1,72;-0,58;2,13;1,05;0,48;0,65;0,46;0,54;1,09;-5,97;-41,16;;16,63;0,17;;641.977.491,00
NUV;8,52;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NUVA;39,75;;73,28;2,34;1,00;71,66;4,97;2,32;9,99;45,95;11,73;0,80;1,70;14,31;-1,53;1,25;3,19;1,36;2,82;0,43;0,57;0,59;3,20;-13,11;;17,02;0,54;;2.084.855.700,00
NUW;13,38;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NUZE;1,29;;-0,19;0,99;0,37;0,30;-261,00;-261,24;-0,19;-0,04;0,15;-0,80;0,49;2,02;-1,55;1,32;-522,64;-197,01;-512,67;0,38;0,62;0,75;19,25;;;1,31;-6,83;;1.653.393,00
NVAX;3,94;;-1,01;-0,77;0,31;65,05;-53,74;-55,41;-1,13;-0,38;0,66;;0,56;-1,12;-0,84;0,70;-76,03;-30,32;108,77;-0,40;1,40;0,55;95,68;;;-5,12;-3,89;;551.415.214,00
NVCN;29,42;;-2,49;1,87;1,36;77,16;-1.018,33;-1.215,11;;-1,81;1,17;-0,73;30,26;1,85;-6,77;12,88;-75,12;-54,76;-49,54;0,73;0,27;0,05;-23,17;;;15,72;-11,81;;81.893.512,00
NVCR;12,09;;-6,25;3,57;1,13;74,81;-37,64;-40,65;-6,35;-5,40;1,35;-0,71;2,54;1,51;-11,59;5,78;-57,12;-18,06;-20,38;0,32;0,68;0,44;15,47;;;3,38;-1,93;;1.294.759.206,00
NVDA;760,41;0,02;63,88;44,23;28,92;72,72;55,93;48,85;53,43;55,31;-0,48;-0,38;31,20;56,39;-88,90;4,17;69,24;45,28;56,97;0,65;0,35;0,93;39,06;48,36;;17,19;11,90;;1.901.025.000.000,00
NVEC;77,44;5,17;17,37;5,62;5,53;78,70;70,98;60,66;14,71;14,09;-0,75;-0,29;10,54;13,18;-9,74;36,07;32,35;31,86;32,35;0,98;0,02;0,53;5,08;10,28;;13,78;4,46;;374.298.496,00
NVEE;89,67;;29,42;1,84;1,22;49,13;7,91;5,73;;23,82;2,53;0,22;1,68;8,41;-1,70;2,06;6,25;4,14;5,87;0,66;0,34;0,72;15,56;10,68;;48,74;3,05;;1.427.268.423,00
NVFY;2,85;;-0,86;13,34;1,06;37,64;-61,57;-69,67;-1,10;-0,65;0,03;-0,45;0,60;110,30;-2,66;1,02;-1.557,26;-123,82;-1.175,12;0,08;0,92;1,78;-32,85;;;0,30;-4,73;;4.658.895,00
NVG;11,53;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NVGS;14,96;1,00;156,03;0,94;0,52;46,74;2,37;1,47;;138,14;41,58;0,41;2,29;-39,53;-0,58;0,90;0,61;0,33;0,48;0,55;0,45;0,23;12,18;;;15,84;0,10;;1.094.706.976,00
NVIV;0,31;;-0,10;0,11;0,10;;;;-0,11;0,82;0,92;-0,96;;0,11;-16,32;14,30;-104,59;-97,32;-104,59;0,93;0,07;0,00;;;;2,87;-3,00;;962.674,00
NVMI;159,32;;38,02;8,85;5,13;56,89;27,36;23,85;;31,94;-1,21;-0,32;9,07;10,01;-14,28;4,98;23,27;13,49;16,60;0,58;0,42;0,57;15,58;20,18;;18,01;4,19;;4.623.418.604,00
NVO;122,75;0,79;71,49;52,79;16,67;84,18;42,50;31,50;;52,75;-0,24;-0,24;22,52;-375,66;-32,81;0,92;73,84;23,32;61,96;0,32;0,68;0,74;15,02;15,99;;2,33;1,72;;547.678.928.700,00
NVR;7.688,67;;15,45;5,63;3,72;25,92;20,55;16,72;12,46;11,39;-1,18;-0,53;2,58;;-3,72;;36,47;24,11;30,68;0,66;0,34;1,44;5,81;14,83;;1.364,79;497,67;;24.589.135.527,00
