TICKER;PRECO;ULTIMO DIVIDENDO;DY;VALOR PATRIMONIAL COTA;P/VP;LIQUIDEZ MEDIA DIARIA;PERCENTUAL EM CAIXA;CAGR DIVIDENDOS 3 ANOS; CAGR VALOR CORA 3 ANOS;PATRIMONIO;N COTISTAS;GESTAO; N COTAS
FRHY11;0,00;1,030000;0,00;11,26;;;102,28;;;1.469.106,01;6,00;;130.500,00
FTCE11B;38.280,10;32,568789;0,15;2.951,79;12,97;20.943.483.170,84;3,32;;;3.982.023.511,94;124,00;;1.349.019,00
FVBI11;94,97;0,369573;0,00;0,00;1,49;;3,50;142,93;;0,00;0,00;;0,00
FVPQ11;56,81;0,400000;7,04;92,30;0,62;39.442,33;2,04;-25,73;-14,55;258.455.348,57;3.416,00;;2.800.149,00
FYTO11;8,17;0,102100;14,80;9,98;0,82;121.804,38;5,89;0,27;2,62;152.456.236,71;10.301,00;;15.281.388,00
GAME11;8,57;0,100000;12,49;9,58;0,89;276.966,19;1,54;0,43;10,05;272.386.907,66;20.760,00;;28.426.127,00
GARE11;8,13;0,083000;12,25;9,27;0,88;10.341.762,81;1,21;-0,79;7,52;2.680.905.837,98;522.157,00;;289.186.438,00
GCDL11;124,99;;0,00;112,17;1,11;31.292,86;0,41;;;44.433.165,29;2.023,00;;396.111,00
GCFF11;69,30;0,750000;0,00;77,51;0,89;;4,26;;0,00;27.939.468,78;1.759,00;;360.477,00
GCOI11;70,82;3,011600;8,49;74,99;0,94;291,38;5,42;;4,99;8.473.573,49;384,00;;113.000,00
GCRI11;67,49;0,850000;13,56;93,38;0,72;157.501,62;18,51;-4,07;3,55;135.757.181,26;4.048,00;;1.453.859,00
GESE11B;1.520,00;14,973763;0,00;1.119,08;1,36;;203,53;118,15;;58.192.036,94;56,00;;52.000,00
GFDL11;118,08;0,160000;0,14;94,77;1,25;12.264,30;0,34;;;24.160.022,64;2.052,00;;254.927,00
GGRC11;9,71;0,100000;12,35;11,03;0,88;13.725.680,52;0,86;2,85;5,75;2.363.600.563,21;356.495,00;;214.249.664,00
GLCR11;99,16;0,900000;11,37;99,57;1,00;4.888,58;0,65;;;49.598.220,68;887,00;;498.110,00
