Papel;Cotação;P/L;P/VP;PSR;Div.Yield;P/Ativo;P/Cap.Giro;P/EBIT;P/Ativ Circ.Liq;EV/EBIT;EV/EBITDA;Mrg Ebit;Mrg. Líq.;Liq. Corr.;ROIC;ROE;Liq.2meses;Patrim. Líq;Dív.Brut/ Patrim.;Cresc. Rec.5a
TCSL4;7.82;9.95;0.83;1.105;0,00%;0.475;8.93;5.69;-2.2;5.61;2.18;19,44%;11,11%;1.34;9,67%;8,33%;0.0;22847800000.0;0.14;2,29%
MDIA3;28.87;10.05;1.26;0.933;2,25%;0.789;2.79;7.5;8.69;7.41;5.79;12,43%;9,28%;2.54;14,47%;12,56%;25484700.0;7752090000.0;0.27;14,95%
ENBR3;24.08;10.09;1.26;0.803;0,00%;0.41;9.32;3.26;-1.05;5.53;4.22;24,63%;9,20%;1.21;14,29%;12,46%;0.0;11128500000.0;1.12;3,64%
MRSL3;3.3;10.25;0.99;0.883;0,00%;0.658;2.37;16.32;6.28;17.74;9.5;5,41%;8,69%;2.78;4,44%;9,63%;0.0;375151000.0;0.16;7,10%
TRFO3;4.53;10.32;2.58;0.804;0,00%;1.039;4.65;5.52;7.37;5.12;5.12;14,58%;7,80%;1.43;27,63%;25,01%;0.0;76165000.0;0.26;16,47%
BESP3;330.0;10.38;2.47;0.0;0,00%;0.0;0.0;0.0;0.0;0.0;0.0;0,00%;0,00%;0.0;0,00%;23,77%;0.0;5183100000.0;0.0;1,83%
UCAS3;2.27;10.38;0.78;0.695;8,85%;0.415;3.99;36.84;-4.07;39.06;11.45;1,89%;6,69%;1.4;1,43%;7,48%;89093.1;193055000.0;0.39;12,06%
FESA4;8.62;10.42;0.94;1.367;6,00%;0.744;2.72;11.79;4.63;10.11;5.52;11,59%;13,13%;3.82;7,88%;9,05%;5877080.0;3231320000.0;0.08;18,14%
TAEE3;11.29;10.42;1.65;3.431;10,98%;0.594;16.94;6.09;-1.27;10.62;10.53;56,36%;32,93%;1.26;10,40%;15,87%;1218710.0;7056880000.0;1.38;5,29%
TAEE11;33.9;10.43;1.65;3.434;10,97%;0.595;16.96;6.09;-1.27;10.63;10.53;56,36%;32,93%;1.26;10,40%;15,87%;61150600.0;7056880000.0;1.38;5,29%
TCOC4;27.2;10.43;1.26;1.558;0,00%;0.915;2.65;10.14;3.07;7.89;7.89;15,37%;14,93%;2.53;13,98%;12,06%;0.0;2812920000.0;0.04;16,71%
