;Fundos;Setor;Preço Atual (R$);Liquidez Diária (R$);P/VP;Último Dividendo;Dividend Yield;DY (3M) Acumulado;DY (6M) Acumulado;DY (12M) Acumulado;DY (3M) média;DY (6M) média;DY (12M) média;DY Ano;Variação Preço;Rentab. Período;Rentab. Acumulada;Patrimônio Líquido;VPA;P/VPA;DY Patrimonial;Variação Patrimonial;Rentab. Patr. Período;Rentab. Patr. Acumulada;Quant. Ativos;Volatilidade;Num. Cotistas;Tax. Gestão;Tax. Performance;Tax. Administração
258;KNIP11;PAPÉIS;90,52;10.042.631,57;0,96;0,70;0,77 %;2,39 %;5,11 %;10,91 %;0,80 %;0,85 %;0,91 %;10,12 %;-1,90 %;-1,15 %;13,79 %;7.589.875.646,93;94,78;0,96;0,80 %;0,98 %;1,79 %;11,12 %;14;7,71;78.183;N/A;N/A;N/A
259;KNOX11;INDEFINIDO;102,91;1.076.781,43;N/A;2,50;2,34 %;0,00 %;2,34 %;7,34 %;0,00 %;0,39 %;0,73 %;2,34 %;1,29 %;3,66 %;3,66 %;N/A;N/A;N/A;N/A;N/A;N/A;N/A;0;16,82;0;N/A;N/A;N/A
260;KNPR11;INDEFINIDO;N/A;N/A;N/A;5,17;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;N/A;53.457.858,29;N/A;N/A;N/A;N/A;N/A;N/A;14;N/A;593;N/A;N/A;N/A
261;KNRE11;FUNDO DE DESENVOLVIMENTO;0,27;3.116,96;0,32;0,07;12,52 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;12,52 %;-44,00 %;-36,99 %;-36,99 %;14.931.161,24;0,76;0,36;9,22 %;0,00 %;9,22 %;0,46 %;14;76,60;6.354;N/A;N/A;N/A
262;KNRI11;MISTO;136,55;5.442.239,61;0,85;1,00;0,72 %;2,10 %;4,04 %;7,80 %;0,70 %;0,67 %;0,65 %;7,16 %;-0,08 %;0,64 %;-4,46 %;4.563.675.099,96;161,81;0,84;0,62 %;1,23 %;1,86 %;10,36 %;33;11,39;281.192;N/A;N/A;N/A
263;KNSC11;PAPÉIS;8,69;5.333.085,96;0,98;0,08;0,90 %;2,87 %;5,80 %;11,29 %;0,96 %;0,97 %;0,94 %;10,47 %;-3,80 %;-2,93 %;15,82 %;1.204.248.167,78;8,94;0,97;1,01 %;-89,86 %;-89,75 %;-88,67 %;14;10,20;163.884;N/A;N/A;N/A
264;KNUQ11;INDEFINIDO;102,92;3.735.360,17;1,02;1,10;1,06 %;3,00 %;5,92 %;12,64 %;1,00 %;0,99 %;1,05 %;11,56 %;-1,67 %;-0,63 %;18,02 %;1.546.368.855,32;N/A;N/A;N/A;N/A;N/A;N/A;14;8,76;20.177;N/A;N/A;N/A
265;KOPA11;INDEFINIDO;934,99;432.238,09;0,91;11,30;1,23 %;3,72 %;6,13 %;6,13 %;1,24 %;1,53 %;1,53 %;6,13 %;-7,65 %;-6,52 %;4,43 %;353.280.311,92;996,06;0,94;1,20 %;0,00 %;0,00 %;0,00 %;0;29,31;3.872;N/A;N/A;N/A
266;KORE11;LAJES CORPORATIVAS;80,32;3.127.855,57;0,79;1,25;1,37 %;3,85 %;7,56 %;13,00 %;1,28 %;1,26 %;1,30 %;13,00 %;-7,32 %;-6,05 %;0,52 %;1.020.491.784,35;N/A;N/A;N/A;N/A;N/A;N/A;18;16,84;19.875;N/A;N/A;N/A
267;LASC11;SHOPPINGS;112,15;80.711,78;0,88;0,63;0,56 %;1,65 %;2,63 %;8,70 %;0,55 %;0,44 %;0,73 %;8,70 %;2,23 %;2,81 %;21,48 %;370.095.630,89;125,87;0,89;0,59 %;17,68 %;18,37 %;18,88 %;16;11,46;412;N/A;N/A;N/A
268;LAVF11;INDEFINIDO;N/A;N/A;N/A;1,30;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;N/A;118.155.565,38;N/A;N/A;N/A;N/A;N/A;N/A;14;N/A;8.102;N/A;N/A;N/A
269;LFTT11;PAPÉIS;9,44;22.533,43;0,42;1,57;14,45 %;47,05 %;103,13 %;139,22 %;15,68 %;17,19 %;11,60 %;112,89 %;-29,94 %;-19,81 %;-13,91 %;69.944.467,98;21,42;0,44;9,34 %;-46,50 %;-41,51 %;-79,39 %;142;75,01;587;N/A;N/A;N/A
270;LGCP11;IMÓVEIS INDUSTRIAIS E LOGÍSTICOS;82,95;163.106,04;0,77;0,80;1,03 %;2,90 %;5,48 %;10,48 %;0,97 %;0,91 %;0,87 %;9,63 %;-4,02 %;-3,03 %;0,29 %;449.412.490,03;99,60;0,83;0,74 %;-3,10 %;-2,38 %;5,61 %;1;9,47;20.028;N/A;N/A;N/A
271;LIFE11;IMÓVEIS COMERCIAIS - OUTROS;9,70;970.356,91;1,00;0,14;1,37 %;4,04 %;8,55 %;16,42 %;1,35 %;1,43 %;1,37 %;15,05 %;-2,18 %;-0,84 %;25,41 %;230.594.292,12;N/A;N/A;N/A;N/A;N/A;N/A;14;14,62;14.844;N/A;N/A;N/A
272;LLAO11;MISTO;65,97;551.253,00;1,07;8,31;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;N/A;22.212.269,55;N/A;N/A;N/A;N/A;N/A;N/A;29;232,37;77;N/A;N/A;N/A
273;LOFT11B;FUNDO DE DESENVOLVIMENTO;29,90;N/A;7,38;47,90;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;142,96 %;0,00 %;0,00 %;N/A;7.953.597,67;N/A;N/A;N/A;N/A;N/A;N/A;24;N/A;1;N/A;N/A;N/A
274;LPLP11;INDEFINIDO;425,43;500,00;1,17;22,65;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;N/A;181.632.875,37;N/A;N/A;N/A;N/A;N/A;N/A;14;48,80;8;N/A;N/A;N/A
275;LSAG11;MISTO;75,38;92.361,78;N/A;1,11;1,45 %;4,20 %;8,39 %;17,06 %;1,40 %;1,40 %;1,42 %;15,82 %;-7,29 %;-5,94 %;-7,54 %;N/A;N/A;N/A;N/A;N/A;N/A;N/A;0;26,77;0;N/A;N/A;N/A
276;LSPA11;PAPÉIS;28,50;7.511,22;0,92;11,20;35,84 %;69,56 %;124,12 %;124,12 %;23,19 %;20,69 %;10,34 %;124,12 %;-34,21 %;-10,63 %;-21,84 %;12.929.443,15;N/A;N/A;N/A;N/A;N/A;N/A;14;77,92;750;N/A;N/A;N/A
277;LTMT11;IMÓVEIS RESIDENCIAIS;86,81;674,57;0,90;8,38;8,80 %;8,80 %;8,80 %;8,80 %;8,80 %;8,80 %;8,80 %;8,80 %;0,00 %;0,00 %;N/A;10.096.806,65;N/A;N/A;N/A;N/A;N/A;N/A;1;56,74;112;N/A;N/A;N/A
278;LUGG11;FUNDO DE DESENVOLVIMENTO;72,82;23.956,00;0,59;0,60;0,85 %;2,50 %;4,93 %;8,93 %;0,83 %;0,82 %;0,74 %;8,32 %;-1,47 %;-0,64 %;-6,36 %;132.831.292,81;117,48;0,62;0,51 %;-8,06 %;-7,59 %;-0,44 %;19;10,07;8.127;N/A;N/A;N/A
279;LVBI11;IMÓVEIS INDUSTRIAIS E LOGÍSTICOS;100,09;3.889.229,30;0,80;0,83;0,81 %;2,40 %;4,83 %;9,72 %;0,80 %;0,81 %;0,81 %;8,90 %;-4,55 %;-3,78 %;1,81 %;2.008.320.771,01;124,60;0,80;0,72 %;7,88 %;8,66 %;14,24 %;1;13,80;133.165;N/A;N/A;N/A
280;MALL11;SHOPPINGS;100,49;1.703.971,48;0,85;0,78;0,77 %;2,25 %;4,52 %;9,13 %;0,75 %;0,75 %;0,76 %;8,42 %;0,23 %;1,00 %;-2,21 %;1.547.143.357,66;119,26;0,84;0,65 %;-0,54 %;0,11 %;16,46 %;24;10,02;134.661;N/A;N/A;N/A
281;MANA11;INDEFINIDO;8,48;1.221.605,61;0,91;0,10;1,17 %;3,40 %;6,65 %;13,55 %;1,13 %;1,11 %;1,13 %;12,47 %;-3,05 %;-1,92 %;4,78 %;352.239.107,73;N/A;N/A;N/A;N/A;N/A;N/A;14;11,80;15.329;N/A;N/A;N/A
282;MATV11;INDEFINIDO;86,63;13.027,43;1,36;0,60;0,73 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;3,11 %;-1,41 %;-0,69 %;-1,08 %;118.155.565,38;91,09;0,95;0,66 %;-1,89 %;-1,24 %;-0,18 %;1;0,37;8.102;N/A;N/A;N/A
283;MAXR11;VAREJO;67,48;39.110,13;0,53;0,55;0,79 %;2,45 %;5,49 %;12,17 %;0,82 %;0,92 %;1,01 %;9,83 %;-1,85 %;-1,07 %;16,62 %;144.207.227,31;128,11;0,53;0,36 %;4,09 %;4,46 %;12,18 %;22;18,73;4.293;N/A;N/A;N/A
284;MBRF11;LAJES CORPORATIVAS;N/A;N/A;N/A;0,50;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;N/A;N/A;1.136,01;N/A;0,88 %;-0,17 %;0,71 %;10,03 %;0;N/A;0;N/A;N/A;N/A
285;MCCI11;PAPÉIS;85,23;3.834.971,87;0,90;0,80;0,95 %;2,79 %;5,55 %;11,23 %;0,93 %;0,93 %;0,94 %;9,20 %;-2,93 %;-2,01 %;4,85 %;1.582.841.746,60;93,33;0,91;0,86 %;0,90 %;1,76 %;6,49 %;14;16,38;111.866;N/A;N/A;N/A
286;MCEM11;SHOPPINGS;109,00;876,43;1,82;2,77;2,52 %;2,52 %;2,52 %;2,52 %;2,52 %;2,52 %;2,52 %;2,52 %;0,00 %;0,00 %;N/A;86.659.799,18;N/A;N/A;N/A;N/A;N/A;N/A;14;21,59;116;N/A;N/A;N/A
287;MCHF11;PAPÉIS;9,10;1.778.820,09;0,14;2,59;0,00 %;0,00 %;0,00 %;3,36 %;0,00 %;0,00 %;0,28 %;1,51 %;0,00 %;0,00 %;N/A;118.155.565,38;10,38;0,88;0,67 %;9,15 %;9,88 %;12,93 %;1;27,38;8.102;N/A;N/A;N/A
288;MCHY11;PAPÉIS;8,58;4.789.731,61;0,90;0,10;1,20 %;3,40 %;7,02 %;13,74 %;1,13 %;1,17 %;1,15 %;11,28 %;-8,34 %;-7,24 %;-11,54 %;1.075.664.181,97;9,64;0,89;1,04 %;-90,39 %;-90,29 %;-89,20 %;14;26,95;100.281;N/A;N/A;N/A
289;MFAI11;FUNDO DE FUNDOS;69,98;31.730,17;0,98;0,72;1,06 %;1,06 %;3,54 %;8,14 %;0,35 %;0,59 %;0,68 %;7,40 %;9,93 %;11,10 %;24,19 %;27.921.750,61;71,74;0,98;1,00 %;5,25 %;6,31 %;-2,75 %;14;31,12;2.378;N/A;N/A;N/A
290;MFII11;FUNDO DE DESENVOLVIMENTO;97,66;1.397.295,91;0,90;1,17;1,17 %;3,52 %;7,15 %;14,42 %;1,17 %;1,19 %;1,20 %;13,18 %;0,31 %;1,48 %;31,12 %;564.894.702,53;108,38;0,90;1,09 %;2,51 %;3,62 %;14,56 %;3;8,72;32.843;N/A;N/A;N/A
291;MGCR11;PAPÉIS;9,40;259.145,59;0,15;0,33;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;8,00 %;0,00 %;0,00 %;N/A;118.155.565,38;9,78;0,96;1,02 %;-89,08 %;-88,97 %;-88,55 %;14;14,56;8.102;N/A;N/A;N/A
292;MGFF11;FUNDO DE FUNDOS;69,99;2.558.695,75;1,10;4,26;0,00 %;0,00 %;0,00 %;1,55 %;0,00 %;0,00 %;0,13 %;0,00 %;0,00 %;0,00 %;N/A;118.155.565,38;73,54;0,95;0,71 %;2,57 %;3,29 %;-0,09 %;14;16,93;8.102;N/A;N/A;N/A
293;MGHT11;HOTÉIS;16,65;38.574,83;0,33;0,13;0,42 %;0,00 %;2,41 %;9,42 %;0,00 %;0,40 %;0,79 %;7,06 %;-14,42 %;-14,07 %;-26,93 %;67.214.357,66;50,81;0,33;0,26 %;-40,63 %;-40,48 %;-43,69 %;15;52,69;5.218;N/A;N/A;N/A
294;MGLG11;IMÓVEIS INDUSTRIAIS E LOGÍSTICOS;40,99;55.314,19;0,55;0,35;0,86 %;2,58 %;4,56 %;11,69 %;0,86 %;0,76 %;0,97 %;0,86 %;-3,60 %;-2,77 %;-2,77 %;116.088.485,68;61,55;0,67;0,57 %;57,54 %;58,43 %;-18,62 %;2;27,79;3.712;N/A;N/A;N/A
295;MGRI11;INDEFINIDO;59,63;N/A;0,65;1,45;2,37 %;2,37 %;2,37 %;2,37 %;0,79 %;0,40 %;0,20 %;2,37 %;0,00 %;0,00 %;N/A;22.017.236,35;N/A;N/A;N/A;N/A;N/A;N/A;2;10,87;1;N/A;N/A;N/A
296;MINT11;EDUCACIONAL;96,50;706,78;0,86;3,36;3,27 %;0,00 %;0,00 %;4,57 %;0,00 %;0,00 %;4,57 %;4,57 %;2,63 %;5,99 %;5,99 %;58.530.689,73;N/A;N/A;N/A;N/A;N/A;N/A;18;34,43;99;N/A;N/A;N/A
297;MMPD11;INDEFINIDO;N/A;N/A;N/A;0,64;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;N/A;60.021.137,11;N/A;N/A;N/A;N/A;N/A;N/A;14;N/A;54;N/A;N/A;N/A
298;MORC11;PAPÉIS;89,87;1.741.368,33;1,41;3,08;0,00 %;0,00 %;0,00 %;3,21 %;0,00 %;0,00 %;0,27 %;1,03 %;0,00 %;0,00 %;N/A;118.155.565,38;97,73;0,92;0,34 %;0,11 %;0,45 %;5,63 %;14;14,31;8.102;N/A;N/A;N/A
299;MORE11;FUNDO DE FUNDOS;76,21;1.327.577,67;1,19;6,02;0,00 %;0,00 %;0,00 %;0,91 %;0,00 %;0,00 %;0,91 %;0,00 %;0,00 %;0,00 %;N/A;118.155.565,38;86,87;0,88;0,81 %;4,88 %;5,72 %;2,91 %;14;16,72;8.102;N/A;N/A;N/A
300;MXRF11;PAPÉIS;9,28;16.778.275,52;0,96;0,09;0,94 %;2,77 %;5,83 %;11,98 %;0,92 %;0,97 %;1,00 %;10,90 %;-1,95 %;-1,03 %;4,16 %;4.218.885.002,05;9,65;0,96;0,93 %;-4,55 %;-3,66 %;1,96 %;17;9,18;1.205.503;N/A;N/A;N/A
301;NAVT11;PAPÉIS;77,08;133.160,83;0,88;0,90;1,08 %;3,41 %;7,17 %;16,29 %;1,14 %;1,20 %;1,36 %;14,28 %;-5,76 %;-4,74 %;20,88 %;52.848.879,77;86,31;0,89;1,16 %;-3,65 %;-2,53 %;-1,42 %;14;17,76;3.129;N/A;N/A;N/A
302;NCHB11;PAPÉIS;8,50;312.005,96;0,86;0,10;1,11 %;3,32 %;6,75 %;13,54 %;1,11 %;1,13 %;1,13 %;11,40 %;-1,10 %;-0,00 %;17,08 %;152.018.535,74;9,95;0,85;1,01 %;-88,90 %;-88,78 %;-88,37 %;14;10,99;12.003;N/A;N/A;N/A
303;NCRA11;INDEFINIDO;7,93;59.522,70;0,75;0,10;1,22 %;3,56 %;7,14 %;13,68 %;1,19 %;1,19 %;1,14 %;11,27 %;-6,73 %;-5,59 %;-7,95 %;47.130.031,93;10,57;0,75;0,95 %;0,00 %;0,00 %;0,00 %;0;14,17;9.027;N/A;N/A;N/A
304;NCRI11;PAPÉIS;9,06;5.839,39;0,90;0,10;1,10 %;3,43 %;6,79 %;13,20 %;1,14 %;1,13 %;1,10 %;11,06 %;4,23 %;5,38 %;19,91 %;39.710.926,36;N/A;N/A;N/A;N/A;N/A;N/A;1;35,14;942;N/A;N/A;N/A
305;NELO11;LOGÍSTICA;N/A;N/A;N/A;9,57;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;N/A;659.149.197,83;N/A;N/A;N/A;N/A;N/A;N/A;0;N/A;2;N/A;N/A;N/A
306;NEWL11;IMÓVEIS INDUSTRIAIS E LOGÍSTICOS;102,94;146.224,96;0,78;0,95;0,92 %;2,57 %;5,16 %;10,52 %;0,86 %;0,86 %;0,88 %;9,61 %;-7,27 %;-6,42 %;8,39 %;370.953.277,40;131,66;0,78;0,72 %;9,63 %;10,43 %;26,02 %;17;13,37;8.399;N/A;N/A;N/A
307;NEWU11;LAJES CORPORATIVAS;78,17;25.783,74;1,09;0,07;0,09 %;0,18 %;0,48 %;1,87 %;0,18 %;0,48 %;0,16 %;1,63 %;-3,46 %;-3,37 %;-7,24 %;53.260.951,94;71,78;1,09;0,10 %;3,12 %;3,22 %;10,61 %;4;43,06;1.250;N/A;N/A;N/A
308;NEXG11;AGRICULTURA;114,39;127.909,30;1,19;1,10;1,07 %;1,07 %;3,79 %;6,29 %;0,36 %;0,63 %;0,70 %;6,29 %;0,00 %;0,00 %;N/A;17.917.314,93;96,03;1,19;1,09 %;0,00 %;0,00 %;0,00 %;0;50,79;427;N/A;N/A;N/A
309;NSLU11;HOSPITALAR;165,25;147.547,70;0,80;1,56;0,93 %;2,69 %;5,24 %;10,30 %;0,90 %;0,87 %;0,86 %;9,47 %;-1,15 %;-0,23 %;-2,36 %;266.172.154,95;205,79;0,80;0,74 %;3,45 %;4,22 %;10,59 %;15;16,83;5.767;N/A;N/A;N/A
310;NUIF11;INDEFINIDO;101,68;124.779,17;N/A;1,15;1,13 %;3,46 %;6,70 %;6,70 %;1,15 %;1,12 %;0,56 %;6,70 %;0,52 %;1,66 %;10,66 %;N/A;N/A;N/A;N/A;N/A;N/A;N/A;0;16,47;0;N/A;N/A;N/A
311;NVHO11;HOSPITALAR;12,79;7.975,48;0,79;0,09;0,75 %;2,11 %;4,23 %;8,84 %;0,70 %;0,71 %;0,74 %;8,84 %;0,67 %;1,43 %;20,76 %;637.055.060,17;15,35;0,83;0,54 %;10,04 %;10,63 %;29,45 %;18;53,19;2.010;N/A;N/A;N/A
312;NVIF11B;FUNDO DE DESENVOLVIMENTO;227,50;N/A;0,89;1,11;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;N/A;86.720.138,61;257,02;0,89;0,43 %;-17,74 %;-17,38 %;2,91 %;1;N/A;7;N/A;N/A;N/A
313;OBAL11;IMÓVEIS RESIDENCIAIS;987,09;106.664,00;0,87;226,10;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;N/A;159.861.311,65;N/A;N/A;N/A;N/A;N/A;N/A;4;96,67;108;N/A;N/A;N/A
314;OCRE11;PAPÉIS;99,00;10.943,91;1,01;0,60;0,60 %;2,02 %;2,66 %;6,93 %;0,67 %;0,44 %;0,58 %;6,30 %;0,77 %;1,38 %;6,95 %;41.527.475,05;N/A;N/A;N/A;N/A;N/A;N/A;1;51,03;498;N/A;N/A;N/A
315;OGHY11;INDEFINIDO;8,72;22.847,10;0,14;9,40;0,00 %;0,00 %;0,00 %;1,89 %;0,00 %;0,00 %;0,19 %;0,99 %;0,00 %;0,00 %;N/A;118.155.565,38;N/A;N/A;N/A;N/A;N/A;N/A;14;20,99;8.102;N/A;N/A;N/A
316;OGIN11;MISTO;9,81;111.853,09;N/A;0,13;1,29 %;2,61 %;6,74 %;14,99 %;0,87 %;1,12 %;1,25 %;13,71 %;2,23 %;3,55 %;34,00 %;N/A;N/A;N/A;N/A;N/A;N/A;N/A;0;9,78;0;N/A;N/A;N/A
317;OIAG11;INDEFINIDO;7,74;186.035,91;0,78;0,10;1,28 %;3,75 %;7,39 %;15,15 %;1,25 %;1,23 %;1,26 %;12,51 %;-3,10 %;-1,86 %;4,06 %;89.558.548,53;9,91;0,78;1,01 %;0,00 %;0,00 %;0,00 %;0;12,82;13.569;N/A;N/A;N/A
318;ONEF11;LAJES CORPORATIVAS;200,03;114.431,47;3,13;2,85;0,00 %;0,00 %;0,00 %;1,01 %;0,00 %;0,00 %;0,08 %;0,00 %;0,00 %;0,00 %;N/A;118.155.565,38;182,79;1,09;17,78 %;-9,26 %;6,88 %;30,26 %;14;10,42;8.102;N/A;N/A;N/A
319;OPTM11;MISTO;N/A;N/A;N/A;0,14;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;N/A;4.721.169,86;N/A;N/A;N/A;N/A;N/A;N/A;15;N/A;63;N/A;N/A;N/A
320;ORPD11;FUNDO DE DESENVOLVIMENTO;93,00;402,75;0,65;1,38;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;N/A;41.628.046,61;124,68;0,75;1,11 %;0,95 %;2,06 %;2,06 %;14;24,80;6;N/A;N/A;N/A
321;OUFF11;FUNDO DE FUNDOS;61,10;264.340,11;0,96;0,76;1,25 %;0,00 %;3,28 %;9,18 %;0,00 %;0,55 %;0,77 %;7,10 %;-1,44 %;-0,20 %;-4,01 %;118.155.565,38;78,55;0,78;0,96 %;3,49 %;4,49 %;11,00 %;1;11,74;8.102;N/A;N/A;N/A
322;OUJP11;PAPÉIS;77,83;575.845,26;0,79;0,90;1,14 %;3,31 %;6,42 %;12,37 %;1,10 %;1,07 %;1,03 %;11,31 %;1,59 %;2,75 %;-5,80 %;320.070.442,98;98,41;0,79;0,86 %;-1,48 %;-0,63 %;14,20 %;14;15,70;28.734;N/A;N/A;N/A
323;OULG11;IMÓVEIS INDUSTRIAIS E LOGÍSTICOS;31,49;92.748,87;0,49;0,30;0,93 %;0,00 %;0,00 %;3,00 %;0,00 %;0,00 %;0,25 %;0,93 %;1,96 %;2,90 %;2,90 %;158.934.081,56;61,46;0,51;0,49 %;-8,15 %;-7,70 %;-14,55 %;2;18,56;4.344;N/A;N/A;N/A
324;OURE11;MISTO;78,20;224.923,68;1,23;1,09;1,39 %;0,00 %;3,88 %;10,89 %;0,00 %;0,65 %;0,91 %;8,68 %;3,84 %;5,28 %;19,42 %;118.155.565,38;100,43;0,78;1,08 %;10,33 %;11,52 %;23,93 %;1;11,96;8.102;N/A;N/A;N/A
325;PABY11;FUNDO DE DESENVOLVIMENTO;14,10;94,26;0,23;0,13;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;-19.320.775,26;251,42;0,06;0,00 %;1,74 %;1,74 %;5,49 %;15;80,43;567;N/A;N/A;N/A
326;PATA11;MISTO;10,40;3.974,43;1,04;0,09;0,85 %;1,65 %;1,65 %;1,65 %;0,83 %;0,83 %;0,83 %;1,65 %;-5,55 %;-4,75 %;-4,75 %;16.948.763,58;N/A;N/A;N/A;N/A;N/A;N/A;14;27,62;190;N/A;N/A;N/A
327;PATB11;LAJES CORPORATIVAS;N/A;N/A;N/A;7,05;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;N/A;799.160.671,16;N/A;N/A;N/A;N/A;N/A;N/A;17;N/A;1;N/A;N/A;N/A
328;PATC11;FUNDO DE DESENVOLVIMENTO;33,98;50.823,39;0,83;0,15;0,44 %;1,20 %;2,04 %;14,43 %;0,40 %;0,34 %;1,20 %;7,77 %;-2,41 %;-1,98 %;-6,75 %;143.105.232,94;41,15;0,83;0,29 %;-46,13 %;-45,97 %;-48,42 %;5;41,13;7.093;N/A;N/A;N/A
329;PATL11;IMÓVEIS INDUSTRIAIS E LOGÍSTICOS;50,42;535.659,87;0,52;0,57;1,09 %;3,01 %;5,92 %;11,59 %;1,00 %;0,99 %;0,97 %;10,59 %;-10,92 %;-9,95 %;-3,65 %;491.139.077,74;98,39;0,51;0,58 %;0,28 %;0,86 %;8,42 %;18;15,13;25.725;N/A;N/A;N/A
330;PCAS11;INDEFINIDO;N/A;N/A;N/A;142,86;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;N/A;333.991.553,44;N/A;N/A;N/A;N/A;N/A;N/A;3;N/A;100;N/A;N/A;N/A
331;PEMA11;PAPÉIS;30,00;424,61;0,45;0,51;1,70 %;2,96 %;2,96 %;11,22 %;0,99 %;0,49 %;0,94 %;7,51 %;-15,61 %;-14,18 %;-21,77 %;37.206.768,30;N/A;N/A;N/A;N/A;N/A;N/A;14;110,28;334;N/A;N/A;N/A
332;PFIN11;INDEFINIDO;72,86;939.217,35;N/A;1,00;1,35 %;1,35 %;2,95 %;6,05 %;0,45 %;0,49 %;0,50 %;2,95 %;-1,16 %;0,17 %;12,35 %;N/A;N/A;N/A;N/A;N/A;N/A;N/A;0;13,56;0;N/A;N/A;N/A
333;PICE11;INDEFINIDO;33,23;209.226,65;N/A;0,25;0,66 %;0,00 %;1,82 %;5,56 %;0,00 %;0,30 %;0,46 %;4,66 %;-12,21 %;-11,63 %;-40,36 %;N/A;N/A;N/A;N/A;N/A;N/A;N/A;0;37,53;0;N/A;N/A;N/A
334;PLCA11;INDEFINIDO;69,36;98.530,96;0,74;0,88;1,22 %;3,52 %;7,10 %;14,41 %;1,17 %;1,18 %;1,20 %;13,10 %;-5,60 %;-4,45 %;2,47 %;52.692.989,21;94,60;0,73;0,93 %;0,00 %;0,00 %;0,00 %;0;14,53;2.767;N/A;N/A;N/A
335;PLCR11;PAPÉIS;79,76;303.327,17;0,87;0,75;0,90 %;2,70 %;5,42 %;11,00 %;0,90 %;0,90 %;0,92 %;10,06 %;1,02 %;1,93 %;7,79 %;194.122.223,23;92,04;0,87;0,81 %;1,49 %;2,32 %;12,63 %;1;12,30;16.250;N/A;N/A;N/A
336;PLOG11;IMÓVEIS INDUSTRIAIS E LOGÍSTICOS;66,71;70.165,04;0,63;0,70;0,99 %;3,05 %;6,10 %;12,13 %;1,02 %;1,02 %;1,01 %;4,09 %;2,01 %;3,02 %;0,55 %;79.648.071,76;100,39;0,66;0,75 %;-0,02 %;0,72 %;8,77 %;1;16,63;3.284;N/A;N/A;N/A
337;PLRI11;PAPÉIS;11,11;1.803,13;0,55;0,03;0,15 %;25,22 %;25,96 %;33,39 %;8,41 %;4,33 %;2,78 %;37,10 %;71,48 %;71,74 %;82,40 %;19.108.225,07;20,02;0,55;9,16 %;-37,75 %;-32,05 %;-42,20 %;1;198,90;697;N/A;N/A;N/A
338;PMFO11;MISTO;89,39;5.288,57;0,99;0,83;0,92 %;1,79 %;1,79 %;1,79 %;0,60 %;0,30 %;0,15 %;1,79 %;0,00 %;0,00 %;N/A;72.319.625,43;N/A;N/A;N/A;N/A;N/A;N/A;14;376,55;174;N/A;N/A;N/A
339;PMIS11;MISTO;9,05;334.153,70;0,96;0,10;1,09 %;3,26 %;6,52 %;9,84 %;1,09 %;1,09 %;0,89 %;9,84 %;-1,08 %;0,00 %;8,28 %;138.687.706,24;N/A;N/A;N/A;N/A;N/A;N/A;14;32,25;8.088;N/A;N/A;N/A
340;PNCR11;IMÓVEIS RESIDENCIAIS;60,74;106,96;0,96;0,76;1,24 %;7,35 %;17,32 %;17,32 %;2,45 %;2,89 %;1,44 %;17,32 %;-1,19 %;0,04 %;18,75 %;31.535.079,81;N/A;N/A;N/A;N/A;N/A;N/A;14;298,12;109;N/A;N/A;N/A
341;PNDL11;FUNDO DE DESENVOLVIMENTO;1.172,00;2.042,17;1,09;3,00;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;N/A;155.280.045,41;N/A;N/A;N/A;N/A;N/A;N/A;14;310,24;62;N/A;N/A;N/A
