;Fundos;Setor;Preço Atual (R$);Liquidez Diária (R$);P/VP;Último Dividendo;Dividend Yield;DY (3M) Acumulado;DY (6M) Acumulado;DY (12M) Acumulado;DY (3M) média;DY (6M) média;DY (12M) média;DY Ano;Variação Preço;Rentab. Período;Rentab. Acumulada;Patrimônio Líquido;VPA;P/VPA;DY Patrimonial;Variação Patrimonial;Rentab. Patr. Período;Rentab. Patr. Acumulada;Quant. Ativos;Volatilidade;Num. Cotistas;Tax. Gestão;Tax. Performance;Tax. Administração
82;CCME11;INDEFINIDO;9,19;758.470,83;0,86;0,08;0,90 %;2,50 %;4,69 %;8,97 %;0,83 %;0,78 %;0,75 %;8,11 %;-9,17 %;-8,36 %;-7,30 %;715.886.523,59;N/A;N/A;N/A;N/A;N/A;N/A;16;18,56;4.536;N/A;N/A;N/A
83;CCRF11;PAPÉIS;92,50;1.276,82;1,45;3,50;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;N/A;118.155.565,38;93,23;0,99;3,76 %;-2,86 %;0,79 %;3,55 %;14;44,35;8.102;N/A;N/A;N/A
84;CCVA11;INDEFINIDO;99,62;159.202,27;0,99;0,45;0,45 %;0,45 %;0,45 %;0,45 %;0,45 %;0,45 %;0,45 %;0,45 %;0,00 %;0,00 %;N/A;62.137.440,05;N/A;N/A;N/A;N/A;N/A;N/A;2;1,88;1;N/A;N/A;N/A
85;CDII11;INDEFINIDO;107,15;3.664.400,91;N/A;1,70;1,49 %;3,40 %;6,34 %;14,51 %;1,13 %;1,06 %;1,21 %;13,38 %;0,44 %;1,94 %;26,61 %;N/A;N/A;N/A;N/A;N/A;N/A;N/A;0;11,20;0;N/A;N/A;N/A
86;CEOC11;LAJES CORPORATIVAS;41,64;31.832,09;0,57;0,45;1,12 %;3,11 %;6,03 %;11,98 %;1,04 %;1,01 %;1,00 %;9,97 %;-10,31 %;-9,30 %;3,17 %;131.530.027,46;72,44;0,57;0,61 %;-8,07 %;-7,51 %;-15,65 %;2;17,54;4.552;N/A;N/A;N/A
87;CFHI11;FUNDO DE DESENVOLVIMENTO;636,00;2.926,00;1,00;14,00;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;N/A;59.873.213,10;N/A;N/A;N/A;N/A;N/A;N/A;24;64,85;103;N/A;N/A;N/A
88;CFII11;INDEFINIDO;952,60;6.250,00;0,92;47,40;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;N/A;127.843.057,09;N/A;N/A;N/A;N/A;N/A;N/A;14;7,24;104;N/A;N/A;N/A
89;CIXM11;MISTO;9,04;220.499,50;0,24;0,12;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;0,00 %;N/A;228.731.987,91;N/A;N/A;N/A;N/A;N/A;N/A;14;N/A;108;N/A;N/A;N/A
90;CJCT11;LAJES CORPORATIVAS;53,49;93.044,70;0,71;0,09;0,17 %;0,46 %;1,12 %;2,55 %;0,46 %;0,19 %;0,21 %;2,37 %;-9,24 %;-9,09 %;-19,13 %;225.498.458,28;57,90;0,92;0,00 %;0,58 %;0,58 %;0,58 %;15;21,27;986;N/A;N/A;N/A
91;CLIN11;FUNDO DE FUNDOS;94,30;2.111.685,04;0,96;0,95;1,03 %;3,09 %;6,24 %;12,90 %;1,03 %;1,04 %;1,17 %;10,63 %;-2,56 %;-1,56 %;7,97 %;425.002.649,89;N/A;N/A;N/A;N/A;N/A;N/A;14;14,42;11.521;N/A;N/A;N/A
