TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
PXSAW;1,45;;-1,30;0,31;0,11;21,20;-14,91;-26,45;;-17,21;-9,54;1,29;0,34;-5,02;-0,13;0,83;-23,91;-8,77;-5,70;0,37;0,63;0,33;14,55;;;4,66;-1,11;;51.403.989,00
PYN;5,85;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PYPD;6,55;;-0,31;0,57;0,31;;;;;0,29;0,77;-0,91;;0,66;-1,11;2,87;-184,69;-101,37;-87,56;0,55;0,45;0,00;;;;11,56;-21,34;;10.831.080,00
PYPL;61,81;;17,70;3,38;0,87;100,00;16,23;12,93;11,37;22,08;7,98;1,91;2,29;5,05;-3,36;1,30;19,07;4,93;5,45;0,26;0,74;0,38;16,01;6,15;;18,31;3,49;;66.639.845.762,00
PYS;20,86;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PYT;22,51;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PZC;7,21;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PZN;9,65;;10,58;4,31;0,60;100,00;49,43;7,46;1,58;1,09;-0,51;-1,38;0,79;;-0,60;;40,71;5,69;233,36;0,14;0,86;0,76;12,97;2,92;;2,24;0,91;;161.123.155,00
PZZA;76,66;2,90;31,64;-5,28;2,86;30,66;6,74;3,80;12,45;23,39;5,56;;1,20;-45,84;-3,98;0,82;-16,70;9,04;34,54;-0,54;1,54;2,38;3,34;-7,90;;-14,51;2,42;;2.511.067.294,00
QADA;87,63;;265,83;15,80;5,71;60,12;1,66;2,11;75,70;315,57;-22,83;-1,07;5,62;54,86;-16,42;1,19;5,94;2,15;2,60;0,36;0,64;1,01;2,07;4,42;;5,55;0,33;;1.840.878.462,00
QADB;87,54;;265,56;15,79;5,70;60,12;1,66;2,11;75,62;315,57;-22,83;-1,07;5,62;54,81;-16,40;1,19;5,94;2,15;2,60;0,36;0,64;1,01;2,07;4,42;;5,55;0,33;;1.840.878.462,00
QCOM;150,86;2,09;23,22;7,78;3,29;55,70;22,72;20,19;16,88;21,14;0,50;0,19;4,69;13,08;-5,88;2,33;33,51;14,17;21,72;0,42;0,58;0,70;9,64;;;19,39;6,50;;167.907.180.000,00
QCRH;61,30;0,49;9,20;1,24;0,12;0,00;31,48;22,26;6,26;4,41;-2,10;-0,40;2,05;;-0,12;;13,47;1,31;9,08;0,10;0,90;0,06;17,60;22,64;;49,46;6,66;;1.026.732.090,00
QD;2,03;;-8,44;0,25;0,22;79,26;5,04;-32,85;;-96,08;-151,07;-0,68;2,77;0,29;-1,46;12,00;-2,95;-2,63;-1,34;0,89;0,11;0,08;-35,31;;;8,15;-0,24;;456.544.767,00
QDEL;70,33;;5,80;0,96;0,53;65,02;37,34;26,67;4,09;6,00;1,85;0,43;1,55;7,13;-0,65;1,73;16,46;9,18;11,72;0,56;0,44;0,34;54,72;;;73,63;12,12;;4.699.359.171,00
QELL;9,41;;-6,54;81,14;1,06;;;;-6,54;-6,53;0,02;-0,20;;-233,15;-1,07;0,46;-1.240,00;-16,27;-1.240,00;0,01;0,99;0,00;;;;0,12;-1,44;;405.686.743,00
QELLU;10,00;;-6,95;86,22;1,13;;;;-6,95;-6,53;0,02;-0,20;;-247,77;-1,14;0,46;-1.240,00;-16,27;-1.240,00;0,01;0,99;0,00;;;;0,12;-1,44;;405.686.743,00
QELLW;1,55;;-1,08;13,36;0,18;;;;-1,08;-6,53;0,02;-0,20;;-38,40;-0,18;0,46;-1.240,00;-16,27;-1.240,00;0,01;0,99;0,00;;;;0,12;-1,44;;405.686.743,00
QEP;4,08;;309,27;0,37;0,19;70,25;5,11;0,44;1,61;70,19;43,44;0,60;1,37;-9,65;-0,20;0,66;0,12;0,06;-0,99;0,52;0,48;0,14;-18,53;;;11,01;0,01;;989.668.553,76
QFIN;14,65;4,51;2,98;0,93;0,42;86,39;87,93;28,91;;0,32;-0,66;-0,63;0,86;1,13;-2,31;1,83;31,26;14,12;88,92;0,45;0,55;0,49;81,46;87,00;;15,74;4,92;;2.365.459.320,00
