TICKER;PRECO;ULTIMO DIVIDENDO;DY;VALOR PATRIMONIAL COTA;P/VP;LIQUIDEZ MEDIA DIARIA;PERCENTUAL EM CAIXA;CAGR DIVIDENDOS 3 ANOS; CAGR VALOR CORA 3 ANOS;PATRIMONIO;N COTISTAS;GESTAO; N COTAS
ERCR11;76.000,00;139,449698;0,18;57.113,15;1,33;;0,23;;;135.700.836,15;10,00;Passiva;2.376,00
ERPA11;119,00;0,729392;7,07;136,44;0,87;77.919,09;1,05;;;68.348.147,51;361,00;Passiva;500.922,00
ESTQ11;0,00;;0,00;0,05;;;40,81;;;3.154.407,53;5,00;Ativa;65.361.974,00
EURO11;249,50;1,880000;8,95;325,22;0,77;43.302,27;1,51;10,36;4,29;124.864.282,06;2.437,00;Passiva;383.936,00
EVBI11;97,50;0,750000;9,34;98,00;0,99;198.564,04;7,28;;;211.079.442,48;1.047,00;Ativa;2.153.893,00
EXES11;88,00;1,051868;9,88;92,66;0,95;2.992,00;39,57;;;44.225.425,80;53,00;Ativa;477.269,00
FAED11;164,29;1,480000;11,37;217,63;0,75;159.219,96;1,75;8,46;-8,78;139.756.822,13;4.690,00;Passiva;642.168,00
FAGL11;0,00;;0,00;;;;;;;;;;3.000.000,00
FAMB11B;801,00;9,160000;0,00;2.905,33;0,28;77.176,38;0,40;-9,82;-36,58;309.002.614,25;2.636,00;Passiva;106.357,00
FARU11;0,00;;0,00;;;;;;;;;;8.000.000,00
FATN11;94,25;0,840000;10,80;99,56;0,95;359.758,50;1,48;;-1,99;126.308.555,55;1.935,00;Ativa;1.268.696,00
FCAS11;0,00;0,121915;0,00;60,79;;;186,17;;;80.684.223,04;2,00;Passiva;1.327.300,00
FCFL11;117,00;0,780000;8,16;116,22;1,01;169.778,73;0,67;9,63;1,63;403.741.891,82;3.634,00;Ativa;3.474.010,00
FGPM11;0,00;;0,00;;;;;;;;;;0,00
FIGS11;61,37;0,450000;8,50;75,95;0,80;177.866,27;0,97;23,87;-1,36;216.457.542,22;15.034,00;Passiva;2.850.000,00
FIIB11;515,00;3,750000;8,16;461,71;1,12;169.584,73;1,10;5,25;2,56;316.273.815,11;16.764,00;Passiva;685.000,00
FIIP11B;175,71;1,440000;9,36;203,21;0,87;76.116,50;1,17;8,57;-2,35;188.411.207,67;7.747,00;Passiva;927.162,00
FINF11;0,00;0,252589;0,00;40,77;;;2,37;-1,89;;33.439.698,24;4,00;Ativa;820.112,00
FISC11;165,00;0,450000;2,36;115,22;1,43;;1,77;;;195.865.393,97;62,00;Ativa;1.699.996,00
FISD11;0,00;6,526269;0,00;66,67;;;11,96;;;71.507.048,08;24,00;Ativa;1.072.588,00
FIVN11;3,96;;0,00;7,68;0,52;19.450,88;0,00;;-4,66;72.272.338,99;3.927,00;Passiva;9.412.630,00
FLCR11;95,85;0,900000;13,37;98,86;0,97;78.401,04;14,79;;;62.640.460,13;2.785,00;Ativa;633.604,00
FLMA11;142,23;0,940000;7,63;159,81;0,89;76.441,04;1,36;27,50;-1,24;220.651.347,80;15.624,00;Ativa;1.380.670,00
FLRP11;1.980,00;13,500000;8,09;1.824,88;1,09;11.172,40;1,89;43,79;12,65;119.040.327,27;781,00;Passiva;65.232,00
FMOF11;54,01;0,150000;0,85;118,97;0,45;59.425,17;1,40;17,86;-16,25;60.435.612,12;272,00;Passiva;508.008,00
FOFT11;123,00;1,900000;0,00;110,21;1,12;;5,10;-47,71;;131.819.480,59;3.846,00;Ativa;1.196.040,00
FPAB11;206,31;0,900000;10,21;374,42;0,55;12.295,79;5,88;5,04;-13,39;280.814.619,03;954,00;Passiva;750.000,00
FPNG11;80,01;0,750000;10,69;164,03;0,49;240,00;2,09;12,97;;236.871.137,46;68,00;Ativa;1.444.104,00
FRHY11;0,00;1,030000;0,00;69,13;;;9,99;;;9.021.142,22;7,00;Ativa;130.500,00
FTCE11B;2.900,89;112,959603;6,86;2.851,98;1,02;14.753,00;4,10;;;2.764.153.469,92;57,00;Ativa;969.205,00
FVBI11;94,97;0,369573;0,00;0,00;;;;142,93;;0,00;0,00;Passiva;0,00
FVPQ11;125,86;1,200000;9,43;192,38;0,65;75.434,50;2,20;3,90;-7,30;538.683.307,17;3.885,00;Passiva;2.800.149,00
GALG11;9,09;0,084000;10,84;9,15;0,99;1.334.282,73;0,24;;;526.075.325,12;64.921,00;Ativa;57.485.300,00
GAME11;9,25;0,100000;12,97;9,98;0,93;159.962,08;0,74;;;216.606.162,93;23.313,00;Ativa;21.697.677,00
GCFF11;69,30;0,750000;8,48;77,51;0,89;87.694,83;4,26;;;27.939.468,78;1.759,00;Ativa;360.477,00
GCOI11;98,99;0,805870;0,81;97,86;1,01;98.990,00;11,30;;;11.057.904,41;357,00;Ativa;113.000,00
GCRI11;89,17;1,000000;14,66;95,93;0,93;212.715,31;4,16;;;139.469.473,13;3.815,00;Ativa;1.453.859,00
GESE11B;1.520,00;14,706525;11,07;1.761,50;0,86;;1,43;7,58;;91.597.974,62;55,00;Passiva;52.000,00
GGRC11;116,80;0,950000;10,27;113,74;1,03;1.134.827,08;4,00;10,12;-6,74;925.167.589,35;105.282,00;Ativa;8.134.118,00
GLOG11;68,88;0,630000;12,21;106,34;0,65;73.149,27;1,76;;;79.755.095,60;3.161,00;Ativa;750.000,00
GLPL11;0,00;;0,00;;;;;;;;;;0,00
GRLV11;104,51;0,170000;0,00;5,97;17,51;;2.489,44;135,25;-7,84;6.407.890,29;2.604,00;Passiva;1.073.530,00
GSFI11;7,86;;0,00;14,25;0,55;865.537,85;0,85;;42,09;1.071.517.626,29;6.905,00;Ativa;75.198.136,00
GTLG11;63,99;0,840000;12,25;91,71;0,70;22.885,25;35,44;;;657.817.630,21;213,00;Ativa;7.173.000,00
GTWR11;85,55;0,790000;10,87;95,06;0,90;942.324,19;1,22;4,70;-8,36;1.140.706.652,02;29.125,00;Ativa;12.000.000,00
GURB11;105,00;0,700000;2,81;111,16;0,94;1.998.501,00;5,20;;;126.189.048,78;19,00;Ativa;1.135.160,00
GVBI11;0,00;;0,00;;;;;;;;;;1.500.000,00
GZIT11;0,00;;0,00;83,93;;;5,50;;;1.777.017.009,21;1,00;Ativa;21.173.640,00
HAAA11;59,69;0,290000;9,11;80,87;0,74;8.550,83;0,51;;;279.416.181,84;319,00;Ativa;3.455.000,00
HABT11;94,07;1,000000;14,44;99,26;0,95;1.183.272,15;4,23;-9,54;-6,06;806.636.236,32;72.872,00;Ativa;8.126.783,00
HBCR11;116,00;0,684598;4,60;103,01;1,13;1.485.371,33;1,37;;;115.283.619,73;39,00;Ativa;1.119.161,00
HBRH11;93,04;0,518500;7,85;112,05;0,82;688.098,19;0,62;-2,78;-1,93;310.626.828,68;1.049,00;Ativa;2.772.204,00
HBTT11;1.055,00;16,580000;0,00;0,00;;;;;0,16;0,00;0,00;Ativa;0,00
HCHG11;79,52;0,520000;14,60;97,09;0,82;91.441,96;5,26;;;116.507.246,83;912,00;Ativa;1.200.000,00
HCPR11;0,00;;0,00;;;;;;;;;;1.750.000,00
HCRI11;298,00;2,594720;9,50;308,28;0,97;37.018,96;1,75;-0,15;-11,44;61.655.370,00;3.186,00;Passiva;200.000,00
HCST11;52,00;;0,00;102,11;0,51;1.464,00;0,14;;;47.729.792,83;84,00;Ativa;467.414,00
HCTR11;45,97;0,500000;21,11;111,82;0,41;2.976.231,27;0,37;-27,11;-29,24;2.469.351.365,39;208.191,00;Ativa;22.084.202,00
HDEL11;106,09;1,870000;5,40;84,82;1,25;7.956,50;4,03;;;42.749.917,75;58,00;Passiva;503.984,00
HDOF11;115,00;;0,00;97,75;1,18;8.050,00;1,73;;;200.938.851,86;109,00;Ativa;2.055.675,00
HFOF11;79,28;0,630000;9,48;83,68;0,95;2.192.834,00;2,17;2,37;-11,08;1.926.871.672,10;75.482,00;Ativa;23.027.000,00
HGBS11;230,16;2,000000;7,65;226,43;1,02;3.222.446,23;3,52;38,60;2,93;2.264.344.680,70;91.091,00;Ativa;10.000.000,00
HGCR11;106,14;1,100000;13,37;103,70;1,02;3.710.467,85;3,01;17,78;0,23;1.598.887.163,80;99.670,00;Ativa;15.418.106,00
HGFF11;88,86;0,700000;8,82;94,14;0,95;913.390,27;6,74;5,16;-3,69;269.584.670,63;14.062,00;Ativa;2.863.597,00
HGIC11;106,00;1,020000;11,58;125,08;0,85;25.310,04;12,27;;;57.875.912,12;369,00;Ativa;462.706,00
HGLG11;160,82;1,100000;9,14;153,20;1,05;11.176.955,35;21,69;3,37;-2,40;5.176.423.292,15;378.902,00;Ativa;33.787.575,00
HGPO11;278,42;1,600000;6,94;299,11;0,93;539.835,04;0,61;13,65;7,54;524.362.205,21;15.267,00;Passiva;1.753.057,00
HGRE11;135,70;0,780000;7,59;155,30;0,87;2.424.419,96;2,33;4,41;-3,69;1.835.305.009,11;145.405,00;Ativa;11.817.767,00
HGRS11;0,00;;0,00;100,29;;;1,42;;;149.727.230,55;6,00;Ativa;1.492.940,00
HGRU11;132,76;0,850000;8,87;123,67;1,07;4.908.739,35;2,26;11,40;0,19;2.276.329.312,59;202.697,00;Ativa;18.406.458,00
HILG11;0,00;1,133938;0,00;180,73;;;0,22;;;94.355.040,81;50,00;Ativa;522.087,00
HLOG11;91,75;0,650000;8,51;115,49;0,79;58.417,27;0,62;0,52;-8,59;490.815.421,64;4.311,00;Ativa;4.250.000,00
HMOC11;226,95;23,800000;0,00;238,79;0,95;;0,67;122,18;1,08;91.223.530,50;209,00;Passiva;382.017,00
HOFC11;23,34;0,110000;9,03;89,23;0,26;68.130,65;0,09;-25,11;-34,57;337.189.582,50;7.682,00;Ativa;3.779.001,00
HOSI11;67,58;0,460000;11,47;92,23;0,73;24.527,68;2,25;6,41;-3,41;52.891.698,49;1.706,00;Ativa;573.450,00
HPDP11;82,01;0,530000;7,60;89,47;0,92;20.756,68;1,11;28,59;-3,05;260.246.309,56;427,00;Passiva;2.908.813,00
HRDF11;4,34;6,800000;0,00;6,13;0,68;1.020,00;42,86;;25,29;9.298.063,48;1.137,00;Ativa;1.517.425,00
HREC11;84,00;0,850000;12,74;93,64;0,90;242.915,31;1,01;;;482.876.556,27;1.470,00;Ativa;5.156.765,00
HSAF11;84,69;0,750000;13,01;93,69;0,90;391.227,85;1,00;6,41;;236.702.698,81;9.640,00;Ativa;2.526.360,00
HSLG11;93,03;0,730000;9,23;104,31;0,89;973.416,31;4,75;;;1.320.614.382,99;31.288,00;Ativa;12.660.067,00
HSML11;94,97;0,740000;9,08;95,26;1,00;2.921.526,81;5,23;21,13;0,53;1.503.214.578,48;160.995,00;Ativa;15.780.613,00
HSRE11;102,67;0,600000;7,31;93,31;1,10;1.699.464,56;1,41;;;830.382.224,69;207,00;Ativa;8.898.724,00
HTMX11;136,95;2,018526;11,50;137,04;1,00;673.078,92;5,15;16,76;3,31;206.160.754,38;27.124,00;Ativa;1.504.334,00
HUCG11;101,99;0,200000;5,56;102,55;0,99;3.138,26;39,67;;;115.061.656,48;235,00;Passiva;1.122.000,00
HUSC11;110,63;0,920000;9,58;145,32;0,76;4.937,52;1,75;2,61;-10,05;119.148.478,11;770,00;Passiva;819.907,00
HUSI11;1.136,79;8,264775;9,28;1.111,77;1,02;3.410,00;1,68;;;129.367.556,42;93,00;Ativa;116.362,00
IBCR11;76,64;0,990834;14,57;96,88;0,79;291.789,58;0,11;;;92.854.574,52;4.043,00;Ativa;958.423,00
IBFF11;66,40;0,296485;0,00;14,78;4,49;;101,13;;-4,02;9.855.905,16;3.870,00;Ativa;666.681,00
IDFI11;30,08;0,194021;17,00;36,78;0,79;18.442,69;34,27;;;75.681.695,16;358,00;Ativa;2.057.925,00
IRDM11;83,14;0,808716;12,93;89,53;0,93;5.018.835,92;2,86;-9,88;-8,89;3.262.073.283,21;291.384,00;Ativa;36.433.827,00
IRIM11;93,22;0,859072;12,49;95,06;0,98;91.257,62;2,39;;;182.511.074,50;2.862,00;Ativa;1.920.000,00
ITIP11;76,89;0,720000;12,46;77,83;0,99;95.565,38;1,49;;;58.226.271,75;2.489,00;Passiva;748.151,00
