,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
88,CRFF11,FUNDO DE FUNDOS,,"27.955,64","0,89",,"0,76 %",,,,,,,,"-0,48 %",,,"62.662.711,71",,,,,,,,,1.539,,,
89,CSMC11,INDEFINIDO,,N/A,N/A,,"0,00 %",,,,,,,,"0,00 %",,,"553.107.081,61",,,,,,,,,1,,,
90,CTXT11,LAJES CORPORATIVAS,,"1.744,14","0,40",,"0,04 %",,,,,,,,"1,00 %",,,"106.747.528,03",,,,,,,,,2.854,,,
91,CVBI11,PAPÉIS,,"2.152.529,00","0,95",,"0,75 %",,,,,,,,"0,06 %",,,"1.060.481.880,28",,,,,,,,,81.909,,,
92,CVPR11,INDEFINIDO,,N/A,N/A,,"0,00 %",,,,,,,,"0,00 %",,,"13.795.378,65",,,,,,,,,2,,,
93,CXAG11,AGÊNCIAS DE BANCOS,,"112.516,04","0,69",,"0,86 %",,,,,,,,"-1,67 %",,,"241.615.533,09",,,,,,,,,11.900,,,
94,CXCE11B,LAJES CORPORATIVAS,,"39.917,39","0,61",,"0,90 %",,,,,,,,"-3,79 %",,,"111.832.067,39",,,,,,,,,3.766,,,
95,CXCI11,INDEFINIDO,,"124.171,57","0,90",,"0,97 %",,,,,,,,"-2,34 %",,,"200.613.742,49",,,,,,,,,5.334,,,
96,CXCO11,LAJES CORPORATIVAS,,"175.093,07","0,79",,"0,90 %",,,,,,,,"-3,63 %",,,"389.160.062,69",,,,,,,,,13.978,,,
97,CXRI11,FUNDO DE FUNDOS,,"57.523,36","0,87",,"0,71 %",,,,,,,,"-3,86 %",,,"144.377.421,22",,,,,,,,,2.286,,,
98,CXTL11,IMÓVEIS INDUSTRIAIS E LOGÍSTICOS,,"7.502,11","0,69",,"0,54 %",,,,,,,,"-0,31 %",,,"22.306.373,73",,,,,,,,,744,,,
99,CYCR11,INDEFINIDO,,"258.982,50","0,96",,"1,05 %",,,,,,,,"1,60 %",,,"160.381.714,53",,,,,,,,,13.345,,,
100,DAMT11B,SHOPPINGS,,"769,33","1,31",,"0,42 %",,,,,,,,"1,03 %",,,"95.205.422,74",,,,,,,,,585,,,
101,DCRA11,MISTO,,"216.987,50",N/A,,"1,29 %",,,,,,,,"0,00 %",,,N/A,,,,,,,,,0,,,
102,DEVA11,PAPÉIS,,"2.006.210,71","0,41",,"1,24 %",,,,,,,,"-20,75 %",,,"1.368.164.993,83",,,,,,,,,133.991,,,
103,DLMT11,VAREJO,,N/A,N/A,,"0,00 %",,,,,,,,"0,00 %",,,"8.509.853,51",,,,,,,,,9,,,
104,DPRO11,INDEFINIDO,,"1.837,13","0,94",,"0,70 %",,,,,,,,"0,00 %",,,"48.830.402,42",,,,,,,,,149,,,
105,DRIT11B,LAJES CORPORATIVAS,,"1.718,76","0,63",,"0,41 %",,,,,,,,"-7,90 %",,,"61.417.658,00",,,,,,,,,357,,,
106,DVFF11,FUNDO DE FUNDOS,,"51.351,75","0,87",,"0,98 %",,,,,,,,"-4,96 %",,,"105.177.331,51",,,,,,,,,714,,,
107,EDFO11B,LAJES CORPORATIVAS,,"7.330,12","1,05",,"0,92 %",,,,,,,,"0,00 %",,,"42.647.457,72",,,,,,,,,540,,,
108,EDGA11,LAJES CORPORATIVAS,,"46.716,54","0,34",,"0,34 %",,,,,,,,"-0,83 %",,,"233.435.787,04",,,,,,,,,5.471,,,
109,EGAF11,INDEFINIDO,,"737.803,71","1,00",,"1,28 %",,,,,,,,"1,00 %",,,"187.140.753,05",,,,,,,,,6.465,,,
110,ENDD11,N/A,,"329.532,39",N/A,,"2,55 %",,,,,,,,"18,53 %",,,N/A,,,,,,,,,0,,,
111,EQIA11,FIAGRO,,N/A,N/A,,N/A,,,,,,,,N/A,,,N/A,,,,,,,,,0,,,
112,EQIR11,INDEFINIDO,,"120.028,04","1,02",,"1,15 %",,,,,,,,"6,67 %",,,"49.424.726,43",,,,,,,,,6.443,,,
113,ERCR11,VAREJO,,N/A,"1,37",,N/A,,,,,,,,N/A,,,"131.969.864,88",,,,,,,,,10,,,
114,ERPA11,LAJES CORPORATIVAS,,"86.785,69","0,87",,"0,00 %",,,,,,,,"0,00 %",,,"68.706.793,14",,,,,,,,,365,,,
115,ESUD11,N/A,,N/A,N/A,,"0,00 %",,,,,,,,"0,00 %",,,N/A,,,,,,,,,0,,,
116,ESUT11,N/A,,N/A,N/A,,"0,00 %",,,,,,,,"0,00 %",,,N/A,,,,,,,,,N/A,,,
117,ESUU11,N/A,,N/A,N/A,,"0,00 %",,,,,,,,"0,00 %",,,N/A,,,,,,,,,0,,,
118,EURO11,IMÓVEIS INDUSTRIAIS E LOGÍSTICOS,,"33.508,43","0,75",,"0,76 %",,,,,,,,"0,40 %",,,"124.897.455,90",,,,,,,,,2.416,,,
119,EVBI11,MISTO,,"192.527,14","0,99",,"0,77 %",,,,,,,,"0,51 %",,,"211.084.800,17",,,,,,,,,1.053,,,
120,EXES11,INDEFINIDO,,"2.992,00","0,95",,"0,00 %",,,,,,,,"0,00 %",,,"44.087.362,92",,,,,,,,,53,,,
121,FAED11,EDUCACIONAL,,"75.816,11","0,71",,"0,95 %",,,,,,,,"-4,15 %",,,"139.751.624,97",,,,,,,,,4.671,,,
122,FAMB11B,LAJES CORPORATIVAS,,"93.856,93","0,33",,"0,56 %",,,,,,,,"-47,80 %",,,"310.614.186,16",,,,,,,,,2.628,,,
123,FATN11,LAJES CORPORATIVAS,,"423.341,93","0,92",,"0,92 %",,,,,,,,"-2,13 %",,,"126.514.231,52",,,,,,,,,2.317,,,
124,FCFL11,EDUCACIONAL,,"204.297,36","0,99",,"0,70 %",,,,,,,,"-1,25 %",,,"403.737.700,16",,,,,,,,,3.589,,,
125,FEXC11,PAPÉIS,,"860.137,12","0,10",,"0,00 %",,,,,,,,"0,00 %",,,"1.001.470.167,13",,,,,,,,,36.232,,,
126,FGAA11,INDEFINIDO,,"1.331.549,61","1,03",,"1,20 %",,,,,,,,"-0,99 %",,,"340.817.912,71",,,,,,,,,40.052,,,
127,FIGS11,SHOPPINGS,,"181.057,54","0,82",,"0,70 %",,,,,,,,"2,41 %",,,"217.182.008,80",,,,,,,,,14.961,,,
128,FIIB11,IMÓVEIS INDUSTRIAIS E LOGÍSTICOS,,"170.441,71","1,13",,"0,71 %",,,,,,,,"1,92 %",,,"316.182.003,59",,,,,,,,,16.693,,,
129,FIIP11B,IMÓVEIS INDUSTRIAIS E LOGÍSTICOS,,"78.752,39","0,85",,"0,84 %",,,,,,,,"-4,05 %",,,"188.496.658,48",,,,,,,,,7.662,,,
130,FISC11,LAJES CORPORATIVAS,,N/A,"1,43",,"0,00 %",,,,,,,,"0,00 %",,,"195.842.870,11",,,,,,,,,62,,,
131,FLCR11,PAPÉIS,,"43.215,82","0,98",,"1,03 %",,,,,,,,"0,05 %",,,"62.213.955,03",,,,,,,,,2.727,,,
132,FLMA11,LAJES CORPORATIVAS,,"71.579,50","0,85",,"0,77 %",,,,,,,,"-4,27 %",,,"221.033.638,08",,,,,,,,,15.318,,,
133,FLRP11,SHOPPINGS,,"24.517,04","1,07",,"0,67 %",,,,,,,,"0,70 %",,,"118.981.040,93",,,,,,,,,778,,,
134,FMOF11,LAJES CORPORATIVAS,,"1.472,15","0,49",,"0,00 %",,,,,,,,"0,00 %",,,"60.473.389,10",,,,,,,,,276,,,
135,FPAB11,LAJES CORPORATIVAS,,"5.852,67","0,54",,"0,45 %",,,,,,,,"-1,18 %",,,"280.823.220,57",,,,,,,,,950,,,
136,FRHY11,INDEFINIDO,,N/A,N/A,,"0,00 %",,,,,,,,"0,00 %",,,"5.886.623,09",,,,,,,,,7,,,
137,FVPQ11,SHOPPINGS,,"78.350,07","0,63",,"1,00 %",,,,,,,,"-5,38 %",,,"538.142.680,48",,,,,,,,,3.936,,,
138,FZDA11,INDEFINIDO,,"126.799,39","0,54",,"1,90 %",,,,,,,,"0,00 %",,,"345.078.207,08",,,,,,,,,390,,,
139,GALG11,IMÓVEIS INDUSTRIAIS E LOGÍSTICOS,,"838.289,39","1,01",,"0,90 %",,,,,,,,"1,97 %",,,"527.983.154,28",,,,,,,,,82.853,,,
140,GAME11,INDEFINIDO,,"143.570,89","0,92",,"1,08 %",,,,,,,,"-0,86 %",,,"214.814.607,06",,,,,,,,,23.521,,,
141,GCFF11,FUNDO DE FUNDOS,,"87.694,83","0,89",,"0,00 %",,,,,,,,"0,00 %",,,"27.939.468,78",,,,,,,,,1.759,,,
142,GCOI11,INDEFINIDO,,"98.990,00","1,01",,"0,00 %",,,,,,,,"0,00 %",,,"11.043.851,83",,,,,,,,,357,,,
143,GCRA11,INDEFINIDO,,"358.355,18","0,89",,"1,23 %",,,,,,,,"-2,03 %",,,"171.366.732,39",,,,,,,,,7.112,,,
144,GCRI11,PAPÉIS,,"201.072,86","0,93",,"1,06 %",,,,,,,,"-0,67 %",,,"137.245.705,07",,,,,,,,,5.121,,,
145,GESE11B,EDUCACIONAL,,N/A,"0,86",,"0,00 %",,,,,,,,"0,00 %",,,"91.598.119,01",,,,,,,,,55,,,
146,GGRC11,IMÓVEIS INDUSTRIAIS E LOGÍSTICOS,,"1.283.895,96","1,01",,"0,82 %",,,,,,,,"-1,98 %",,,"924.826.543,16",,,,,,,,,105.137,,,
147,GLOG11,IMÓVEIS INDUSTRIAIS E LOGÍSTICOS,,"84.831,61","0,62",,"0,93 %",,,,,,,,"-3,29 %",,,"80.106.473,28",,,,,,,,,3.158,,,
148,GRWA11,INDEFINIDO,,"51.086,39","1,04",,"1,43 %",,,,,,,,"0,67 %",,,"12.851.891,66",,,,,,,,,770,,,
149,GSFI11,SHOPPINGS,,"1.945.688,64","0,55",,"0,03 %",,,,,,,,"0,00 %",,,"1.073.927.524,29",,,,,,,,,7.274,,,
150,GTLG11,IMÓVEIS INDUSTRIAIS E LOGÍSTICOS,,"22.885,25","1,06",,N/A,,,,,,,,N/A,,,"434.811.690,70",,,,,,,,,341,,,
151,GTWR11,LAJES CORPORATIVAS,,"1.255.483,11","0,87",,"0,94 %",,,,,,,,"-3,45 %",,,"1.141.234.332,72",,,,,,,,,31.332,,,
152,GURB11,INDEFINIDO,,"7.292.293,00","0,97",,"0,00 %",,,,,,,,"0,00 %",,,"126.269.371,97",,,,,,,,,20,,,
153,HAAA11,LAJES CORPORATIVAS,,"1.946,91","0,69",,"0,49 %",,,,,,,,"-1,21 %",,,"279.324.421,71",,,,,,,,,335,,,
154,HABT11,PAPÉIS,,"1.395.133,79","0,90",,"1,07 %",,,,,,,,"-4,35 %",,,"806.364.362,07",,,,,,,,,73.529,,,
155,HBCR11,INDEFINIDO,,"904.530,78","1,15",,"0,45 %",,,,,,,,"0,00 %",,,"115.216.127,99",,,,,,,,,39,,,
156,HBRH11,LAJES CORPORATIVAS,,"631.930,30","0,83",,"0,56 %",,,,,,,,"-0,73 %",,,"310.370.994,79",,,,,,,,,1.006,,,
157,HCHG11,PAPÉIS,,"48.415,71","0,78",,"0,68 %",,,,,,,,"-3,08 %",,,"116.500.671,83",,,,,,,,,1.041,,,
158,HCRA11,INDEFINIDO,,"13.337,73",N/A,,"1,12 %",,,,,,,,"0,58 %",,,N/A,,,,,,,,,0,,,
159,HCRI11,HOSPITALAR,,"34.558,57","0,93",,"0,91 %",,,,,,,,"-1,30 %",,,"61.651.120,00",,,,,,,,,3.186,,,
160,HCTR11,PAPÉIS,,"3.898.581,86","0,28",,"0,91 %",,,,,,,,"-35,67 %",,,"2.481.726.259,49",,,,,,,,,203.874,,,
161,HDEL11,IMÓVEIS INDUSTRIAIS E LOGÍSTICOS,,"7.956,50","1,15",,"0,00 %",,,,,,,,"0,00 %",,,"77.481.594,10",,,,,,,,,58,,,
162,HFOF11,FUNDO DE FUNDOS,,"2.079.781,64","0,88",,"0,79 %",,,,,,,,"-3,05 %",,,"1.918.394.548,29",,,,,,,,,75.246,,,
163,HGAG11,INDEFINIDO,,"7.656,11","0,97",,"0,60 %",,,,,,,,"0,24 %",,,"5.956.563,40",,,,,,,,,1.335,,,
164,HGBS11,SHOPPINGS,,"8.631.914,75","1,02",,"0,86 %",,,,,,,,"0,24 %",,,"2.251.821.608,65",,,,,,,,,89.636,,,
165,HGCR11,PAPÉIS,,"3.966.687,75","1,02",,"1,02 %",,,,,,,,"0,43 %",,,"1.587.869.105,57",,,,,,,,,102.780,,,
166,HGFF11,FUNDO DE FUNDOS,,"1.003.144,00","0,90",,"0,79 %",,,,,,,,"-2,76 %",,,"269.801.958,09",,,,,,,,,15.110,,,
167,HGIC11,PAPÉIS,,"18.589,52","0,87",,"1,00 %",,,,,,,,"0,92 %",,,"55.827.629,63",,,,,,,,,363,,,
168,HGLG11,IMÓVEIS INDUSTRIAIS E LOGÍSTICOS,,"15.282.339,93","1,03",,"0,68 %",,,,,,,,"-0,46 %",,,"5.194.540.238,65",,,,,,,,,396.667,,,
169,HGPO11,LAJES CORPORATIVAS,,"835.960,89","0,92",,"0,54 %",,,,,,,,"-1,27 %",,,"524.198.179,50",,,,,,,,,16.426,,,
