TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
ARAY;3,79;;-35,66;6,63;0,76;36,26;-1,42;-2,32;-58,18;-72,50;-14,32;1,63;0,83;2,40;-2,73;1,79;-18,60;-2,14;-4,36;0,11;0,89;0,92;2,32;;;0,57;-0,11;;362.899.322,00
ARC;3,48;5,75;13,73;0,98;0,50;33,80;6,42;3,88;8,29;9,11;0,82;0,10;0,53;4,04;-0,77;1,55;7,11;3,65;5,50;0,51;0,49;0,94;-6,23;;;3,57;0,25;;151.853.976,00
ARCB;95,56;0,50;7,63;1,90;0,94;100,00;6,53;5,89;6,88;6,54;-0,35;-0,10;0,45;10,00;-1,51;1,33;24,87;12,33;17,55;0,50;0,50;2,10;13,50;37,93;;50,34;12,52;;2.288.967.792,00
ARCC;19,23;10,04;15,70;1,04;0,48;100,00;68,36;37,62;8,64;17,61;8,97;1,08;5,91;;-0,48;;6,64;3,06;5,49;0,46;0,54;0,08;7,18;-2,09;;18,45;1,22;;10.472.294.553,00
ARCE;12,75;;-78,63;2,16;0,74;73,67;11,77;-3,76;25,14;30,40;5,25;0,45;2,96;10,13;-1,06;1,33;-2,75;-0,95;4,37;0,34;0,66;0,25;35,48;-10,68;;5,90;-0,16;;844.219.575,00
ARCH;109,43;14,45;1,63;1,40;0,84;35,53;28,43;33,73;1,93;1,86;-0,07;-0,05;0,55;3,87;-1,30;2,58;85,87;51,68;52,36;0,60;0,40;1,53;9,89;41,04;;78,40;67,32;;2.043.506.763,00
ARCO;10,39;1,64;20,03;10,21;0,91;13,95;7,46;3,43;9,21;11,14;1,93;2,14;0,69;-25,36;-1,18;0,86;50,99;4,55;19,01;0,09;0,91;1,33;1,74;1,67;;1,02;0,52;;2.188.076.855,00
ARCT;35,38;;8,45;2,85;2,00;100,00;39,90;39,59;8,38;5,46;-2,92;-1,00;3,34;2,81;-20,29;4,71;33,80;23,63;33,64;0,70;0,30;0,60;73,78;;;12,39;4,19;;939.798.940,00
ARD;24,75;;-975,03;-22,16;0,47;15,28;6,03;-0,08;13,57;27,27;13,70;;0,82;1,51;-0,90;2,77;-2,27;-0,05;4,30;-0,02;1,02;0,57;;;;-1,12;-0,03;;5.850.157.500,00
ARDS;0,32;;-0,39;-0,42;1,23;100,00;-985,30;-985,30;-0,39;-0,43;-0,03;;3,88;-0,40;-4,04;0,19;-105,52;-311,86;114,77;-2,96;3,96;0,32;29,16;;;-0,77;-0,81;;11.596.896,00
ARDX;3,39;;-11,03;5,80;3,35;91,17;-94,46;-104,52;-12,21;-10,47;1,74;-0,83;11,53;6,99;-14,55;2,65;-52,55;-30,37;-39,12;0,5
