Fundos,Setor,Preço Atual (R$),Liquidez Diária (R$),P/VP,Último Dividendo,Dividend Yield (%),DY (3M) Acumulado (%),DY (6M) Acumulado (%),DY (12M) Acumulado (%),DY (3M) média (%),DY (6M) média (%),DY (12M) média (%),DY Ano (%),Variação Preço (%),Rentab. Período (%),Rentab. Acumulada (%),Patrimônio Líquido,VPA,P/VPA,DY Patrimonial (%),Variação Patrimonial (%),Rentab. Patr. Período (%),Rentab. Patr. Acumulada (%),Quant. Ativos,Volatilidade,Num. Cotistas,Tax. Gestão (%aa),Tax. Performance (%aa),Tax. Administração (%aa)
SALI11,Misto,N/A,N/A,N/A,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,"7.575.553,97",N/A,N/A,N/A,N/A,N/A,N/A,5,N/A,2,N/A,N/A,N/A
SAPI11,Misto,9.04,142688.05,0.9,0.12,1.29,3.66,7.34,16.94,1.22,1.22,1.41,9.76,-1.4,-0.13,24.57,"297.516.319,92",N/A,N/A,N/A,N/A,N/A,N/A,14,1202.01,13178,N/A,N/A,1.0
SCPF11,Shoppings,2.9,1479.05,0.34,0.02,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,-36.1,-35.68,-35.68,"41.549.233,57",11.84,0.24,0.38,1.11,1.49,-3.03,1,7807.5,4167,N/A,N/A,4.0
SDIL11,Imóveis Industriais e Logísticos,96.5,1030917.86,1.01,0.75,0.76,2.49,5.22,10.27,0.83,0.87,0.86,6.12,2.04,2.82,10.51,"612.048.658,06",98.33,0.98,0.83,-0.22,0.61,9.86,5,14.97,63292,N/A,N/A,0.84
SEED11,Indefinido,98.34,200.0,1.08,0.89,0.0,0.0,0.0,3.85,0.0,0.0,0.32,0.0,0.0,0.0,N/A,"149.202.234,27",N/A,N/A,N/A,N/A,N/A,N/A,14,4557.52,131,N/A,N/A,0.2
SEQR11,Misto,53.42,81167.52,0.54,0.58,1.05,3.25,6.83,14.63,1.08,1.14,1.22,2.13,3.24,4.33,8.63,"164.843.420,44",97.65,0.55,0.6,4.15,4.77,10.91,4,1721.28,4159,N/A,20.0,1.24
SHOP11,Shoppings,36.5,807875.0,1.2,6.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,"76.507.752,26",N/A,N/A,N/A,N/A,N/A,N/A,1,15459.4,99,N/A,N/A,N/A
SHPH11,Shoppings,935.0,148914.67,0.91,12.0,1.27,2.45,4.21,7.23,0.82,0.7,0.6,4.59,4.42,5.74,15.93,"631.698.081,98",1037.36,0.9,0.51,16.01,16.61,22.35,1,2435.29,2037,N/A,N/A,0.2
SHPP11,Shoppings,10.5,6548661.52,1.08,0.05,0.41,1.4,1.4,4.95,0.47,0.23,0.45,1.4,0.91,1.33,2.31,"518.198.391,88",N/A,N/A,N/A,N/A,N/A,N/A,0,14680.45,125,N/A,N/A,N/A
SHSO11,Indefinido,N/A,N/A,N/A,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,"19.769.049,00",N/A,N/A,N/A,N/A,N/A,N/A,14,N/A,1,N/A,N/A,N/A
SIGR11,Indefinido,99.9,100.0,10.65,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.32,0.0,0.0,N/A,"183.000.003,55",N/A,N/A,N/A,N/A,N/A,N/A,14,1.55,10920,N/A,N/A,N/A
SJAU11,Imóveis Industriais e Logísticos,2.0,3728.81,0.14,20.13,231.65,0.0,0.0,848.21,0.0,0.0,424.11,848.21,58.29,424.96,424.96,"11.795.798,91",N/A,N/A,N/A,N/A,N/A,N/A,14,17087.54,838,N/A,N/A,N/A
SMRE11,Incorporações,53.9,82413.71,0.52,1.0,1.89,5.21,9.94,19.09,1.74,1.66,1.59,11.65,-10.75,-9.07,-5.12,"104.105.096,46",N/A,N/A,N/A,N/A,N/A,N/A,14,2696.55,1233,0.78,N/A,0.22
SNAG11,Papéis,9.89,2173680.62,0.98,0.12,1.17,3.44,8.05,16.17,1.15,1.34,1.35,8.05,-2.48,-1.34,11.15,"906.918.112,22",10.14,0.98,1.18,-89.99,-89.87,-89.54,0,863.01,131472,8.0,N/A,0.07
SNCI11,Papéis,87.64,396102.76,0.9,1.0,1.14,3.58,7.24,14.56,1.19,1.21,1.21,1.14,5.84,7.05,7.05,"407.107.304,43",98.73,0.89,1.01,1.37,2.39,12.52,14,1280.72,35129,0.7,N/A,0.15
SNEL11,Fundo de Desenvolvimento,8.42,7473294.95,1.05,0.1,1.19,3.57,7.19,14.93,1.19,1.2,1.24,7.19,-0.12,1.07,13.89,"883.624.281,88",N/A,N/A,N/A,N/A,N/A,N/A,14,760.91,99294,1.08,20.0,0.12
SNFF11,Fundo de Fundos,73.29,310556.05,0.85,0.8,1.01,4.01,7.72,14.23,1.34,1.29,1.19,1.01,6.72,7.8,7.8,"345.157.144,75",87.14,0.84,0.92,-1.55,-0.64,1.02,14,1480.33,25703,N/A,10.0,0.73
SNFZ11,Misto,9.29,258818.9,0.94,0.1,1.03,3.12,6.31,12.98,1.04,1.05,1.08,6.31,1.04,2.08,12.12,"120.395.441,70",9.96,0.93,1.0,0.0,0.0,0.0,0,1960.73,12073,0.87,20.0,0.13
SNID11,Indefinido,11.03,84332.1,N/A,0.12,1.08,3.35,6.97,14.65,1.12,1.16,1.22,6.97,-0.81,0.27,7.66,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,1803.32,0,0.85,N/A,0.1
SNME11,Indefinido,9.4,455926.52,0.99,0.15,1.58,3.7,7.49,16.48,1.23,1.25,1.37,7.49,0.42,2.01,13.72,"69.984.048,36",N/A,N/A,N/A,N/A,N/A,N/A,2,1390.38,7492,0.79,20.0,0.2
SOFF11,Misto,94.2,6.71,0.92,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,"187.944.047,94",N/A,N/A,N/A,N/A,N/A,N/A,0,17574.17,309,N/A,N/A,N/A
SOLR11,Imóveis Comerciais - Outros,1051.35,4931882.0,1.14,4.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,"60.245.691,32",N/A,N/A,N/A,N/A,N/A,N/A,1,121.75,58,N/A,N/A,N/A
SPDE11,Indefinido,1266.67,2533.3,0.82,12.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,"140.851.989,61",N/A,N/A,N/A,N/A,N/A,N/A,14,954.53,120,N/A,N/A,N/A
SPMO11,Indefinido,120.0,6277.89,0.7,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,"310.305.927,73",N/A,N/A,N/A,N/A,N/A,N/A,14,375.54,15,N/A,N/A,N/A
SPTW11,Lajes Corporativas,37.84,58642.95,0.7,0.45,1.08,3.92,7.55,15.5,1.31,1.26,1.29,2.7,12.43,13.64,16.11,"97.388.785,80",54.2,0.7,0.83,-2.76,-1.96,12.58,1,1695.67,16669,N/A,N/A,0.25
SPVJ11,Shoppings,N/A,N/A,N/A,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,"154.423.844,13",24.38,N/A,0.49,-79.03,-78.92,-75.51,1,N/A,23,N/A,N/A,0.2
SPXS11,Indefinido,8.01,363204.71,0.85,0.09,1.04,3.47,7.37,14.88,1.16,1.23,1.24,2.18,-3.08,-2.07,6.67,"190.094.764,86",N/A,N/A,N/A,N/A,N/A,N/A,14,1301.37,20343,N/A,20.0,0.8
SRVD11,Indefinido,3.0,233.91,18.75,0.2,2.29,0.0,0.0,0.0,0.0,0.0,0.0,3.3,-9.79,-7.73,-7.73,"15.751.874,97",1.19,2.53,16.87,-0.11,16.74,25.64,14,375.98,108,N/A,N/A,N/A
STRX11,Fundo de Desenvolvimento,140.31,141.0,0.92,0.82,0.0,0.0,0.65,2.28,0.0,0.65,0.19,0.0,0.0,0.0,N/A,"247.273.997,22",152.86,0.92,0.54,3.06,3.61,16.17,2,7938.06,111,N/A,N/A,N/A
SURE11,Indefinido,N/A,N/A,N/A,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,"116.412.669,49",N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,1,N/A,N/A,N/A
TCPF11,Misto,39.53,N/A,0.4,1.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,"29.322.488,92",N/A,N/A,N/A,N/A,N/A,N/A,14,N/A,48,N/A,N/A,N/A
TELM11,Indefinido,9.62,5496.14,0.96,0.3,3.1,5.22,10.03,16.46,1.74,1.67,1.37,12.43,0.41,3.53,21.35,"31.636.978,60",N/A,N/A,N/A,N/A,N/A,N/A,3,4397.83,299,0.9,20.0,N/A
TEPP11,Lajes Corporativas,7.89,1364402.9,0.82,0.08,0.86,2.59,5.37,12.79,0.86,0.9,1.07,1.72,0.69,1.56,4.6,"475.561.606,76",9.56,0.83,0.78,-90.01,-89.93,-88.77,6,1296.32,44450,0.9,N/A,0.13
TGAR11,Fundo de Desenvolvimento,50.56,4509499.29,0.46,0.72,1.35,3.62,6.52,14.07,1.21,1.09,1.17,7.65,-10.86,-9.65,-29.94,"2.564.030.458,11",108.79,0.46,0.66,-14.86,-14.3,-4.44,4,2792.45,137575,1.28,30.0,0.22
TJKB11,Indefinido,252.9,247202.05,0.9,2.9,1.13,3.36,6.95,14.61,1.12,1.16,1.22,1.13,-4.82,-3.75,-3.75,"601.856.649,49",N/A,N/A,N/A,N/A,N/A,N/A,11,1570.22,767,N/A,N/A,0.6
TMPS11,Fundo de Fundos,74.2,291510.62,0.91,1.8,2.46,4.55,23.76,31.52,1.52,3.96,2.63,26.21,-3.61,-1.24,43.96,"79.940.394,80",N/A,N/A,N/A,N/A,N/A,N/A,14,1677.11,1875,N/A,20.0,0.9
TOPP11,Imóveis Comerciais - Outros,67.22,609396.9,0.64,0.84,1.35,3.8,7.33,15.36,1.27,1.22,1.28,7.33,-6.18,-4.91,2.16,"478.478.280,75",N/A,N/A,N/A,N/A,N/A,N/A,2,1596.19,4522,N/A,N/A,N/A
TORD11,Misto,1.15,13118.57,0.03,0.0,0.31,1.2,2.18,5.47,0.4,0.36,0.46,2.18,-15.67,-15.41,-42.83,"212.583.174,34",13.94,0.08,0.36,8.23,8.62,12.48,2,2721.53,46674,N/A,20.0,1.5
TRBL11,Imóveis Industriais e Logísticos,59.89,1132014.76,0.74,2.68,4.28,6.71,9.79,15.87,2.24,1.63,1.32,10.6,-5.65,-1.62,14.86,"615.586.359,16",N/A,N/A,N/A,N/A,N/A,N/A,5,2832.27,42290,N/A,N/A,0.84
TRNT11,Lajes Corporativas,97.51,8601.5,0.59,0.07,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.0,0.0,N/A,"651.287.503,47",197.64,0.49,0.04,0.38,0.42,-0.87,1,3940.46,499,N/A,N/A,0.75
TRUE11,Misto,23.64,18071.1,0.86,15.52,59.86,0.0,0.0,60.96,0.0,0.0,5.08,64.68,7.78,72.29,117.8,"68.520.470,28",N/A,N/A,N/A,N/A,N/A,N/A,1,4426.44,2855,0.7,N/A,N/A
TRXB11,Fundo de Desenvolvimento,189.99,1350545.14,1.85,10.3,5.75,6.7,9.86,23.31,2.23,1.64,1.94,12.41,-0.57,5.15,38.94,"402.558.572,70",N/A,N/A,N/A,N/A,N/A,N/A,11,4852.84,803,N/A,N/A,N/A
TRXF11,Imóveis Comerciais - Outros,91.18,19320443.81,0.92,0.93,0.97,2.91,5.78,12.23,0.97,0.96,1.02,1.99,-2.63,-1.69,-3.92,"6.138.975.528,57",100.95,0.9,0.92,-4.27,-3.39,12.12,92,725.43,313615,1.0,20.0,N/A
TRXY11,Outros,7.99,227248.24,0.94,0.13,1.53,4.06,7.69,15.79,1.35,1.28,1.32,9.14,-1.73,-0.23,13.1,"307.573.206,43",N/A,N/A,N/A,N/A,N/A,N/A,0,2243.51,2714,N/A,20.0,1.0
TSER11,Lajes Corporativas,103.79,357.23,1.11,1.01,0.0,0.0,0.0,1.96,0.0,0.0,0.16,0.0,0.0,0.0,N/A,"139.196.673,78",N/A,N/A,N/A,N/A,N/A,N/A,1,6322.77,1,N/A,N/A,N/A
TVRI11,Agências de Bancos,91.15,1076808.43,0.88,1.05,1.14,3.36,6.55,13.76,1.12,1.09,1.15,7.65,-0.88,0.25,10.6,"1.655.185.497,04",N/A,N/A,N/A,N/A,N/A,N/A,57,1042.04,59039,N/A,N/A,0.28
URHF11,Outros,58.67,7851.9,0.59,1.0,1.67,4.53,8.9,18.79,1.51,1.48,1.57,10.54,-7.74,-6.2,-2.46,"10.808.169,28",N/A,N/A,N/A,N/A,N/A,N/A,14,3976.21,303,N/A,20.0,1.25
URPR11,Papéis,19.28,941003.81,0.23,0.35,0.9,2.93,6.23,13.92,0.98,1.04,1.16,1.82,2.36,3.28,26.17,"983.741.267,95",103.26,0.19,0.34,4.5,4.86,29.8,14,3319.67,56984,0.95,20.0,0.25
VANG11,Indefinido,97.47,2463.77,N/A,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.98,0.0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,22253.62,0,N/A,N/A,N/A
VCJR11,Papéis,73.86,2301657.33,0.79,0.88,1.09,3.05,6.58,15.04,1.02,1.1,1.25,2.04,-0.76,0.32,8.33,"1.379.078.036,91",94.92,0.78,0.93,0.71,1.64,14.63,14,1292.46,29327,N/A,N/A,1.6
VCRA11,Indefinido,59.2,720172.05,0.58,0.97,1.54,4.67,9.18,19.51,1.56,1.53,1.63,10.77,-0.66,0.87,21.22,"471.637.374,73",102.67,0.58,0.97,0.28,1.26,2.74,0,1364.19,9776,N/A,N/A,1.3
VCRI11,Papéis,7.25,217722.24,0.77,0.09,1.15,3.7,7.54,15.98,1.23,1.26,1.33,2.43,5.41,6.62,13.18,"195.790.064,97",9.55,0.76,0.94,1.06,2.01,3.82,14,1517.1,12810,N/A,20.0,0.95
VCRR11,Imóveis Residenciais,57.4,131105.38,0.53,0.4,0.68,2.0,3.86,8.57,0.67,0.64,0.71,4.62,-0.36,0.32,-8.5,"207.503.327,78",103.75,0.55,0.39,-19.1,-18.79,-6.96,4,2669.27,2693,N/A,15.0,0.8
VGHF11,Misto,5.86,2130015.29,0.7,0.07,1.16,3.32,6.35,13.08,1.11,1.06,1.09,7.37,-3.21,-2.09,-2.57,"1.379.137.939,39",8.37,0.7,0.84,-8.62,-7.86,3.96,14,1680.64,378189,0.9,20.0,N/A
VGIA11,Indefinido,9.63,1580018.14,1.0,0.13,1.33,4.11,8.67,18.53,1.37,1.45,1.54,8.67,0.1,1.43,19.53,"1.027.230.341,97",9.69,0.99,1.34,1.69,3.06,11.45,0,1068.63,174817,1.15,10.0,N/A
VGII11,Tecidos. Vestuário e Calçados,65.76,4.87,1.0,0.8,1.1,3.7,5.08,5.08,1.23,0.85,0.42,5.08,1.11,2.23,2.23,"34.181.530,66",N/A,N/A,N/A,N/A,N/A,N/A,14,40649.88,9,N/A,N/A,N/A
VGIP11,Papéis,79.53,2262687.81,0.88,0.71,0.87,2.91,5.84,14.92,0.97,0.97,1.24,0.87,3.44,4.34,4.34,"1.077.329.646,94",90.93,0.87,0.78,0.54,1.33,10.14,14,1384.1,83612,N/A,20.0,1.0
VGIR11,Papéis,9.59,3828811.86,0.98,0.13,1.33,4.08,8.41,16.59,1.36,1.4,1.38,1.33,2.3,3.66,3.66,"1.431.263.745,53",9.83,0.98,1.32,1.97,3.32,-88.63,1,775.49,270326,0.8,20.0,0.2
VGRI11,Misto,5.4,320480.76,0.62,0.08,1.36,3.66,7.48,16.94,1.22,1.25,1.41,9.01,-12.8,-11.61,-15.8,"304.819.560,55",N/A,N/A,N/A,N/A,N/A,N/A,5,2110.12,26071,N/A,N/A,1.3
VHFA11,Misto,10.8,4263.24,1.08,0.13,1.2,9.93,13.89,18.16,3.31,2.32,1.51,15.28,-1.82,-0.64,22.72,"95.085.890,53",10.03,1.08,1.4,0.0,0.0,0.0,0,5646.6,230,N/A,20.0,1.3
VIDS11,Fundo de Desenvolvimento,915.64,N/A,1.31,16.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,"66.252.312,96",N/A,N/A,N/A,N/A,N/A,N/A,14,0.42,199,N/A,N/A,N/A
VIFI11,Fundo de Fundos,6.96,30.26,0.87,0.07,1.01,0.0,0.0,0.0,0.0,0.0,0.0,3.0,-7.57,-6.64,5.15,"64.507.809,24",N/A,N/A,0.0,-100.0,-100.0,-100.0,14,1136.84,5521,N/A,20.0,0.95
VIGT11,N/A,49.06,488521.57,N/A,0.25,0.49,1.45,3.07,5.91,0.48,0.51,0.49,3.62,-3.93,-3.46,29.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,2943.76,0,N/A,0.0,1.5
VILG11,Imóveis Industriais e Logísticos,94.86,2796895.67,0.86,0.82,0.87,2.52,4.97,10.1,0.84,0.83,0.84,5.74,-2.54,-1.69,9.55,"1.676.830.071,63",111.81,0.85,0.73,-0.41,0.32,6.52,12,1469.02,149369,N/A,N/A,N/A
VINO11,Lajes Corporativas,4.64,537519.81,0.47,0.05,0.82,2.74,5.78,12.8,0.91,0.96,1.07,1.79,7.39,8.27,7.03,"812.151.045,20",9.89,0.47,0.46,-81.94,-81.85,-80.77,9,1714.93,127379,N/A,20.0,1.1
VISC11,Shoppings,105.46,5018729.52,0.91,0.84,0.77,2.25,4.55,9.44,0.75,0.76,0.79,1.51,0.24,1.01,1.26,"3.339.028.785,11",118.07,0.89,0.71,-4.65,-3.97,10.34,32,1017.53,350230,1.05,N/A,N/A
VIUR11,Misto,2.31,152541.62,0.65,0.26,12.89,12.89,22.97,46.08,4.3,3.83,3.84,27.33,-0.49,12.34,37.79,"94.664.702,09",3.51,0.66,7.49,-61.85,-58.99,-95.73,1,3696.62,37666,N/A,20.0,0.95
VJFD11,Papéis,125.2,9.77,0.73,0.85,0.0,0.0,0.0,1.46,0.0,0.0,0.12,0.0,0.0,0.0,N/A,"833.663.802,37",170.85,0.73,0.5,25.56,26.19,33.46,39,2245.88,105,N/A,N/A,0.19
VLIQ11,Indefinido,N/A,N/A,N/A,5.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,"118.155.565,38",N/A,N/A,N/A,N/A,N/A,N/A,14,N/A,1,N/A,N/A,N/A
VLOL11,Lajes Corporativas,88.0,160238.13,0.79,16.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.99,0.0,0.0,N/A,"198.219.080,15",111.06,0.79,0.55,-0.14,0.4,14.11,1,9.89,3127,N/A,N/A,N/A
VOTS11,Papéis,81.0,1074.67,0.98,0.71,0.89,3.31,4.35,9.49,1.1,0.73,0.79,2.48,3.82,4.74,7.52,"75.945.003,22",93.61,0.87,0.76,0.34,1.1,10.19,14,5362.15,534,N/A,N/A,N/A
VPPR11,Lajes Corporativas,18.53,62560.62,0.47,0.07,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.53,-10.74,-10.27,-10.27,"303.211.367,07",N/A,N/A,N/A,N/A,N/A,N/A,2,2027.13,30154,N/A,20.0,0.95
VRTA11,Papéis,73.08,3018368.95,0.87,0.85,1.06,3.19,6.55,13.31,1.06,1.09,1.11,2.09,-3.15,-2.12,5.45,"1.306.696.394,39",85.01,0.86,1.0,-6.76,-5.82,2.7,14,1050.45,103290,N/A,N/A,1.0
VRTM11,Misto,6.92,130655.33,0.73,0.09,1.27,3.74,7.55,16.02,1.25,1.26,1.34,8.85,-2.75,-1.52,22.34,"444.788.700,96",N/A,N/A,N/A,N/A,N/A,N/A,14,1136.29,11844,N/A,0.2,0.9
VSEC11,Papéis,0.21,2.5,0.0,2.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.0,0.0,0.0,N/A,"118.155.565,38",N/A,N/A,N/A,N/A,N/A,N/A,14,904.16,8102,N/A,20.0,0.7
VSHO11,Shoppings,73.45,11212.86,0.65,0.68,0.88,3.2,5.64,11.68,1.07,0.94,0.97,2.12,1.2,2.09,6.76,"239.449.150,33",115.77,0.63,0.59,16.5,17.19,22.61,3,1442.85,2857,0.75,N/A,N/A
VSLH11,Papéis,1.78,77986.86,0.16,0.03,1.17,3.78,7.21,14.44,1.26,1.2,1.2,2.55,5.99,7.23,0.38,"331.459.598,25",10.23,0.17,0.26,-1.54,-1.28,17.54,14,1900.43,60472,N/A,20.0,0.95
VTBL11,Outros,N/A,N/A,N/A,1.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,"19.105.850,77",N/A,N/A,N/A,N/A,N/A,N/A,9,N/A,1,N/A,N/A,N/A
VTLT11,Imóveis Industriais e Logísticos,88.98,12462404.0,0.98,1.26,0.0,0.0,3.65,10.92,0.0,0.61,0.91,0.0,0.0,0.0,N/A,"191.517.274,18",90.55,0.98,1.14,-10.11,-9.08,-2.35,1,1246.05,5533,0.95,N/A,N/A
VTPL11,Papéis,64.25,66.0,0.53,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,"166.564.006,99",N/A,N/A,N/A,N/A,N/A,N/A,1,10174.9,125,N/A,N/A,N/A
VVCO11,Lajes Corporativas,9.01,503.05,0.6,11.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,"149.411.419,03",N/A,N/A,N/A,N/A,N/A,N/A,4,3827.37,2437,N/A,20.0,1.2
VVCR11,Papéis,8.02,264495.57,0.83,0.1,1.05,3.17,6.72,13.11,1.06,1.12,1.09,6.72,1.28,2.34,13.21,"189.111.807,20",N/A,N/A,N/A,N/A,N/A,N/A,14,3988.12,2050,N/A,N/A,1.15
VVMR11,Lajes Corporativas,81.01,3809.89,0.99,1.07,1.27,1.27,7.06,8.32,0.42,1.18,0.69,7.31,5.73,7.07,14.09,"237.817.050,40",N/A,N/A,N/A,N/A,N/A,N/A,5,2221.63,504,N/A,N/A,N/A
VVPR11,Misto,101.5,1249061.55,1.04,0.89,0.89,0.0,0.0,0.0,0.0,0.0,0.0,7.45,0.4,1.3,14.44,"226.032.234,18",98.03,1.04,0.74,-0.1,0.64,0.09,6,3.43,1372,N/A,N/A,N/A
VVRI11,Indefinido,84.58,13220.21,0.94,0.03,0.04,0.49,0.88,3.68,0.49,0.88,0.31,0.88,0.0,0.0,N/A,"158.458.376,25",N/A,N/A,N/A,N/A,N/A,N/A,3,7746.84,144,N/A,N/A,N/A
VXXV11,Fundo de Desenvolvimento,785.0,12357226.25,1.82,273.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,"206.637.182,67",N/A,N/A,N/A,N/A,N/A,N/A,1,13023.38,15,N/A,N/A,N/A
WHGR11,Indefinido,9.06,284168.48,0.93,0.1,1.03,3.25,6.68,13.19,1.08,1.11,1.1,2.1,3.74,4.81,13.59,"301.604.364,00",N/A,N/A,N/A,N/A,N/A,N/A,1,1139.61,15134,N/A,20.0,1.0
WPLZ11,Shoppings,46.0,3409.4,0.88,0.37,0.75,2.26,4.5,10.77,0.75,0.75,0.9,5.2,0.98,1.74,14.23,"64.752.127,01",54.57,0.84,0.68,-37.85,-37.43,-43.77,1,5477.21,1441,N/A,N/A,0.55
WSEC11,Indefinido,1.41,1533.0,0.96,1.46,0.0,0.0,0.0,612.44,0.0,0.0,51.04,752.24,0.0,0.0,N/A,"3.603.090,71",N/A,N/A,N/A,N/A,N/A,N/A,14,14888.47,918,N/A,20.0,1.0
WTSP11,Misto,67.0,1897.63,0.71,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,"116.919.864,95",N/A,N/A,N/A,N/A,N/A,N/A,1,14888.29,235,N/A,N/A,N/A
WTSP11B,N/A,N/A,N/A,N/A,0.05,0.09,0.81,26.17,27.19,0.81,4.36,2.27,0.81,0.0,0.0,N/A,N/A,84.21,N/A,0.06,16.18,16.25,12.98,0,N/A,N/A,N/A,N/A,N/A
XLPR11,Papéis,67.74,14728.0,0.91,0.38,0.53,1.4,2.07,6.94,0.47,0.35,0.58,2.07,3.56,4.11,-3.06,"36.093.674,05",N/A,N/A,N/A,N/A,N/A,N/A,0,3767.64,1379,0.5,N/A,0.65
XPCA11,Indefinido,7.79,537397.62,0.8,0.1,1.27,3.71,7.88,16.91,1.24,1.31,1.41,9.27,-2.48,-1.24,14.6,"444.337.190,31",10.71,0.73,0.93,12.85,13.9,28.1,0,983.77,94254,N/A,10.0,1.0
XPCI11,Papéis,83.15,1710905.19,0.94,0.88,1.02,3.19,6.58,14.01,1.06,1.1,1.17,2.08,3.86,4.92,8.5,"770.578.224,59",89.57,0.93,0.98,-2.46,-1.5,7.21,14,1308.66,83304,N/A,N/A,1.0
XPCM11,Lajes Corporativas,8.13,17407.1,0.4,0.02,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,-0.87,-0.67,-0.67,"48.789.846,88",29.04,0.28,0.07,-34.13,-34.09,-44.99,1,4465.25,15567,N/A,N/A,0.8
XPHT11,Hotéis,123.0,230869.59,0.66,0.41,0.93,2.91,5.33,10.11,0.97,0.89,0.84,10.11,15.85,16.93,15.37,"581.976.733,73",63.13,1.95,0.65,-33.0,-32.56,-26.69,14,29.85,1268,N/A,N/A,N/A
XPID11,Indefinido,48.45,120111.19,N/A,0.75,1.52,4.59,8.92,15.52,1.53,1.49,1.29,10.06,-1.5,0.0,21.05,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,2165.03,0,N/A,N/A,0.95
XPIE11,Indefinido,45.1,1176156.0,N/A,0.85,1.75,5.46,11.07,17.05,1.82,1.85,1.42,13.06,-9.68,-8.1,9.87,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,1228.08,0,N/A,20.0,1.3
XPIN11,Imóveis Industriais e Logísticos,62.04,828821.17,0.83,0.85,1.33,3.78,7.11,14.19,1.26,1.19,1.18,5.96,-9.3,-8.1,-8.59,"534.690.266,89",90.39,0.69,0.94,-12.99,-12.18,-10.9,81,1761.73,37186,N/A,N/A,0.75
XPLG11,Imóveis Industriais e Logísticos,89.9,10816548.05,0.86,0.82,0.79,2.34,4.82,10.11,0.78,0.8,0.84,1.56,-1.73,-0.95,1.11,"5.408.721.355,72",106.03,0.85,0.77,-6.93,-6.21,4.71,24,917.19,344319,0.95,20.0,N/A
XPML11,Shoppings,106.56,14171471.52,0.97,0.92,0.88,2.57,5.18,10.78,0.86,0.86,0.9,5.18,-3.43,-2.58,7.01,"7.034.476.644,18",110.11,0.97,0.84,9.08,10.0,17.87,14,924.3,748369,N/A,20.0,0.75
XPSF11,Fundo de Fundos,6.17,307497.52,0.78,0.07,1.1,3.2,6.38,13.29,1.07,1.06,1.11,7.5,-3.92,-2.86,16.13,"341.027.173,18",7.88,0.78,0.89,-5.63,-4.79,-90.04,14,1257.83,54411,N/A,20.0,1.0
XTED11,Lajes Corporativas,8.82,17641.88,0.68,11.16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"67.378.204,04",28.02,0.31,0.0,-0.36,-0.36,-3.45,1,29.46,4098,1.0,N/A,0.2
YUFI11,Fundo de Desenvolvimento,15.0,40.0,0.38,29.23,0.0,0.0,0.0,1.16,0.0,0.0,0.1,2.8,0.0,0.0,N/A,"19.322.334,98",N/A,N/A,N/A,N/A,N/A,N/A,11,51409.57,56,N/A,N/A,N/A
YUFI11B,Indefinido,N/A,N/A,N/A,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,0.0,0.0,0.0,N/A,105.53,N/A,0.6,-0.01,0.59,6.32,0,N/A,0,N/A,N/A,N/A
