Fundos,Setor,Preço Atual (R$),Liquidez Diária (R$),P/VP,Último Dividendo,Dividend Yield (%),DY (3M) Acumulado (%),DY (6M) Acumulado (%),DY (12M) Acumulado (%),DY (3M) média (%),DY (6M) média (%),DY (12M) média (%),DY Ano (%),Variação Preço (%),Rentab. Período (%),Rentab. Acumulada (%),Patrimônio Líquido,VPA,P/VPA,DY Patrimonial (%),Variação Patrimonial (%),Rentab. Patr. Período (%),Rentab. Patr. Acumulada (%),Quant. Ativos,Volatilidade,Num. Cotistas,Tax. Gestão (%aa),Tax. Performance (%aa),Tax. Administração (%aa)
GURB11,Indefinido,108.0,5000076.0,0.84,0.7,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.65,0.0,0.0,N/A,"145.476.950,69",N/A,N/A,N/A,N/A,N/A,N/A,2,1.17,1,N/A,N/A,N/A
GZIT11,Indefinido,42.61,474286.48,0.5,0.78,1.61,5.0,10.46,21.76,1.67,1.74,1.81,1.61,3.89,5.56,5.56,"2.028.146.076,20",N/A,N/A,N/A,N/A,N/A,N/A,6,1698.92,8032,N/A,20.0,0.96
HABT11,Papéis,71.57,978817.19,0.75,0.95,1.2,3.78,7.73,16.46,1.26,1.29,1.37,2.44,3.68,4.92,14.19,"772.911.596,36",95.39,0.75,1.0,-4.4,-3.45,13.04,14,1208.56,57158,1.26,20.0,N/A
HBCR11,Indefinido,146.0,49.94,1.25,0.55,0.38,0.76,0.88,7.76,0.76,0.88,0.65,0.88,5.15,5.55,5.55,"186.801.196,94",N/A,N/A,N/A,N/A,N/A,N/A,3,2850.82,73,N/A,20.0,0.18
HBRH11,Lajes Corporativas,90.8,14627.0,0.8,0.5,0.55,1.65,6.85,9.22,0.55,1.14,0.77,9.22,1.0,1.56,2.46,"316.852.348,31",112.23,0.81,0.45,-0.86,-0.42,7.6,5,13.98,720,N/A,N/A,0.86
HCHG11,Papéis,64.05,12367.37,0.9,0.71,0.89,2.82,4.49,10.76,0.94,0.75,0.9,4.49,-0.01,0.88,11.2,"99.549.645,67",82.96,0.77,0.92,-17.96,-17.21,-4.39,14,4201.25,513,0.7,N/A,0.2
HCRA11,Indefinido,10.22,0.83,0.22,14.85,145.3,0.0,0.0,0.0,0.0,0.0,0.0,233.94,2.2,150.7,11.17,"19.407.697,42",N/A,N/A,0.0,0.0,0.0,0.0,0,1797.9,108,N/A,N/A,1.2
HCRI11,Hospitalar,265.81,45251.29,0.92,3.32,1.06,10.43,13.74,21.29,3.48,2.29,1.77,1.06,9.53,10.69,10.69,"57.356.168,83",276.21,0.96,1.2,-10.31,-9.23,-2.86,1,2904.83,3009,N/A,N/A,2.0
HCTR11,Papéis,16.44,634139.67,0.16,0.3,1.72,4.86,8.61,17.93,1.62,1.44,1.49,10.58,7.39,9.24,0.73,"2.216.689.880,53",100.37,0.16,0.26,-17.31,-17.1,-2.25,14,2133.58,123678,0.99,10.0,0.21
HDEL11,Imóveis Industriais e Logísticos,3.45,166.18,0.78,15.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,"3.697.614,77",N/A,N/A,N/A,N/A,N/A,N/A,1,220384.25,144,N/A,20.0,1.5
HFOF11,Fundo de Fundos,6.22,2188387.57,0.8,0.06,0.86,2.58,5.4,11.59,0.86,0.9,0.97,1.7,5.58,6.49,12.12,"1.707.518.504,88",8.02,0.78,0.75,-90.08,-90.01,-89.6,14,1321.92,94205,N/A,20.0,0.6
HGAG11,Indefinido,13.5,538.44,0.55,0.14,0.0,1.89,4.94,8.69,0.63,0.82,0.72,5.78,0.0,0.0,N/A,"5.828.419,86",23.48,0.57,0.6,0.0,0.0,0.0,0,13270.89,973,1.0,20.0,N/A
HGBL11,Misto,8.78,76449.14,0.9,0.07,0.8,2.35,4.74,10.01,0.78,0.79,0.83,5.67,-3.23,-2.45,7.97,"257.621.581,89",N/A,N/A,N/A,N/A,N/A,N/A,1,1355.91,4832,0.5,N/A,0.1
HGBS11,Shoppings,19.38,4121961.38,0.95,0.17,0.87,2.54,5.07,9.93,0.85,0.85,0.83,5.85,-2.74,-1.9,8.45,"2.942.000.393,20",20.38,0.95,0.83,-90.82,-90.74,-89.75,16,983.12,194805,N/A,N/A,0.6
HGCR11,Papéis,91.95,3673203.29,0.94,0.95,0.96,3.05,6.41,13.46,1.02,1.07,1.12,1.98,0.87,1.84,8.02,"1.518.188.028,49",99.58,0.92,0.95,-1.37,-0.43,13.23,14,1038.79,103812,N/A,20.0,0.8
HGIC11,Papéis,53.95,2419.38,0.49,0.67,1.24,3.3,6.49,14.28,1.1,1.08,1.19,7.77,-6.55,-5.39,-5.43,"51.204.172,04",110.75,0.49,0.54,-3.46,-2.94,15.4,2,4320.17,727,1.0,20.0,0.25
HGLG11,Imóveis Industriais e Logísticos,148.5,14427058.43,0.89,1.1,0.73,2.15,4.29,8.69,0.72,0.72,0.72,5.01,-3.02,-2.32,2.81,"7.570.056.166,40",166.0,0.89,0.66,7.77,8.49,25.77,37,748.55,573386,N/A,N/A,0.6
HGRE11,Lajes Corporativas,122.18,1952701.71,0.82,0.85,0.69,2.61,4.81,11.1,0.87,0.8,0.93,1.9,0.02,0.71,5.56,"1.741.832.777,19",147.73,0.83,0.58,-5.84,-5.3,-5.0,12,1520.24,144569,N/A,N/A,1.0
HGRU11,Misto,127.15,5431962.1,1.0,0.95,0.74,2.64,4.94,10.21,0.88,0.82,0.85,1.89,2.33,3.09,3.56,"2.995.424.135,35",129.14,0.98,0.74,5.09,5.86,20.34,100,970.5,232223,N/A,20.0,0.7
HILG11,Indefinido,184.96,186.67,0.75,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N/A,"128.961.347,44",N/A,N/A,N/A,N/A,N/A,N/A,1,786.03,107,N/A,N/A,N/A
