Data,Estrangeiro,Institucional,Pessoa física,Inst. Financeira,Outros
19/09/2022,549,77 mi,-12,20 mi,-734,32 mi,54,35 mi,142,39 mi
16/09/2022,1.442,61 mi,-1.732,85 mi,-227,06 mi,-59,77 mi,577,08 mi
15/09/2022,-176,26 mi,-647,91 mi,430,38 mi,47,93 mi,345,86 mi
14/09/2022,-500,12 mi,100,26 mi,290,58 mi,21,88 mi,87,40 mi
13/09/2022,-634,27 mi,-355,80 mi,910,59 mi,23,35 mi,56,13 mi
12/09/2022,356,48 mi,-25,41 mi,-296,22 mi,-19,97 mi,-14,88 mi
09/09/2022,484,99 mi,402,68 mi,-958,62 mi,3,32 mi,67,63 mi
08/09/2022,451,51 mi,-638,61 mi,102,06 mi,15,15 mi,69,89 mi
06/09/2022,-854,42 mi,-449,38 mi,1.160,93 mi,46,38 mi,96,48 mi
05/09/2022,32,80 mi,119,28 mi,-130,02 mi,-7,03 mi,-15,03 mi
02/09/2022,-164,78 mi,-130,17 mi,242,16 mi,10,38 mi,42,42 mi
01/09/2022,-901,82 mi,580,02 mi,265,13 mi,-23,25 mi,79,91 mi
31/08/2022,-850,14 mi,379,05 mi,385,36 mi,13,71 mi,72,02 mi
30/08/2022,-733,45 mi,-617,53 mi,1.227,87 mi,5,45 mi,117,66 mi
29/08/2022,22,98 mi,59,49 mi,-177,29 mi,16,24 mi,78,57 mi
26/08/2022,-46,14 mi,-707,56 mi,493,21 mi,25,38 mi,235,11 mi
25/08/2022,329,35 mi,-119,10 mi,-174,53 mi,35,30 mi,-71,02 mi
24/08/2022,-158,36 mi,-126,21 mi,67,29 mi,54,88 mi,162,40 mi
23/08/2022,265,92 mi,354,52 mi,-657,99 mi,5,11 mi,32,44 mi
22/08/2022,437,78 mi,-505,07 mi,-89,29 mi,89,87 mi,66,71 mi
19/08/2022,2.781,18 mi,-2.501,78 mi,-737,72 mi,432,73 mi,25,59 mi
18/08/2022,1.357,51 mi,-1.441,92 mi,64,47 mi,-4,53 mi,24,47 mi
17/08/2022,1.100,64 mi,-1.017,64 mi,-115,12 mi,21,48 mi,10,64 mi
16/08/2022,899,35 mi,-896,25 mi,-40,59 mi,33,54 mi,3,96 mi
15/08/2022,941,49 mi,-694,49 mi,-271,29 mi,-5,96 mi,30,26 mi
12/08/2022,2.612,69 mi,-790,74 mi,-1.807,60 mi,88,52 mi,-102,87 mi
11/08/2022,1.642,52 mi,-1.724,77 mi,291,37 mi,-231,83 mi,22,70 mi
10/08/2022,1.047,34 mi,-1.055,49 mi,-79,03 mi,61,75 mi,25,43 mi
09/08/2022,1.446,66 mi,-1.065,30 mi,198,60 mi,-637,84 mi,57,88 mi
08/08/2022,832,54 mi,-567,20 mi,-242,18 mi,-33,29 mi,10,13 mi
05/08/2022,949,85 mi,-988,82 mi,30,20 mi,-25,19 mi,33,96 mi
04/08/2022,1.072,31 mi,-418,12 mi,-784,72 mi,105,25 mi,25,27 mi
03/08/2022,3,77 mi,107,69 mi,-97,61 mi,-59,55 mi,45,70 mi
02/08/2022,527,94 mi,-432,95 mi,-294,59 mi,165,36 mi,34,23 mi
01/08/2022,-90,20 mi,-472,51 mi,525,64 mi,-47,26 mi,84,34 mi
29/07/2022,358,71 mi,-1.095,72 mi,180,43 mi,500,90 mi,55,69 mi
28/07/2022,-55,93 mi,91,90 mi,-62,51 mi,-70,66 mi,97,20 mi
27/07/2022,1.096,37 mi,-657,84 mi,-435,81 mi,-13,07 mi,10,35 mi
26/07/2022,44,61 mi,-590,25 mi,459,19 mi,32,98 mi,53,47 mi
25/07/2022,682,83 mi,-572,58 mi,-149,32 mi,38,48 mi,0,59 mi
